q,I
2.039995199999999811e-03,6.005576170709251089e-04
2.884988900000000096e-03,6.005567759354216292e-04
4.079990399999999622e-03,6.005550936680935847e-04
4.561568000000000220e-03,6.005542525362696704e-04
5.769977800000000191e-03,6.005517291481551065e-04
6.119985599999999866e-03,6.005508880212365565e-04
6.451031299999999968e-03,6.005500468955446728e-04
7.355307299999999833e-03,6.005475235258264178e-04
8.159980799999999243e-03,6.005450001671464250e-04
8.411115699999999196e-03,6.005441590500394710e-04
8.654966599999999385e-03,6.005433179341580991e-04
9.123135799999999504e-03,6.005416357060752459e-04
1.019997589999999989e-02,6.005374301573312501e-04
1.040197520000000000e-02,6.005365890512612574e-04
1.098571020000000016e-02,6.005340657404104098e-04
1.153995529999999985e-02,6.005315424405967403e-04
1.189511369999999950e-02,6.005298602468539309e-04
1.223997100000000053e-02,6.005281780580156185e-04
1.240880609999999926e-02,6.005273369654355944e-04
1.290206219999999980e-02,6.005248136950551950e-04
1.306234239999999949e-02,6.005239726073812942e-04
1.368470339999999959e-02,6.005206082689475838e-04
1.427996599999999984e-02,6.005172439501377159e-04
1.442494390000000071e-02,6.005164028734995838e-04
1.471061409999999993e-02,6.005147207239053785e-04
1.485138870000000076e-02,6.005138796509470285e-04
1.553614000000000037e-02,6.005096743045532136e-04
1.593287120000000043e-02,6.005071511114323021e-04
1.631996089999999955e-02,6.005046279293485686e-04
1.644696630000000090e-02,6.005037868711047937e-04
1.682223050000000025e-02,6.005012637037367195e-04
1.730993239999999850e-02,6.004978994977492549e-04
1.742972569999999902e-02,6.004970584493168591e-04
1.754870130000000042e-02,6.004962174021115633e-04
1.824627070000000087e-02,6.004911711446327344e-04
1.835995569999999966e-02,6.004903301060113925e-04
1.847294110000000100e-02,6.004894890686163916e-04
1.880782519999999944e-02,6.004869659637884598e-04
1.924527490000000132e-02,6.004836018411869843e-04
1.935309240000000069e-02,6.004827608136024952e-04
2.009162109999999835e-02,6.004768736548442851e-04
2.019492059999999922e-02,6.004760326370704162e-04
2.039995039999999843e-02,6.004743506051999670e-04
2.050169640000000168e-02,6.004735095911040372e-04
2.080394890000000080e-02,6.004709865561724510e-04
2.100303430000000082e-02,6.004693045390179862e-04
2.129817330000000064e-02,6.004667815224812993e-04
2.168544450000000137e-02,6.004634175176008695e-04
2.197141860000000058e-02,6.004608945268129000e-04
2.206591980000000008e-02,6.004600535323381021e-04
2.243994499999999934e-02,6.004566895666958162e-04
2.253248119999999924e-02,6.004558485783500132e-04
