q,I
2.039995199999999811e-03,2.682895491885413722e-03
2.884988900000000096e-03,2.682835294946705681e-03
4.079990399999999622e-03,2.682714905315056100e-03
4.561568000000000220e-03,2.682654712622048205e-03
5.769977800000000191e-03,2.682474143033862762e-03
6.119985599999999866e-03,2.682413956001299202e-03
6.451031299999999968e-03,2.682353770383762159e-03
7.355307299999999833e-03,2.682173222020946702e-03
8.159980799999999243e-03,2.681992686392101807e-03
8.411115699999999196e-03,2.681932510678763752e-03
8.654966599999999385e-03,2.681872336380171189e-03
9.123135799999999504e-03,2.681751992027085491e-03
1.019997589999999989e-02,2.681451155900014746e-03
1.040197520000000000e-02,2.681390992918144048e-03
1.098571020000000016e-02,2.681210512459003461e-03
1.153995529999999985e-02,2.681030044728830927e-03
1.189511369999999950e-02,2.680909739979906760e-03
1.223997100000000053e-02,2.680789440887601863e-03
1.240880609999999926e-02,2.680729293462595988e-03
1.290206219999999980e-02,2.680548859671760039e-03
1.306234239999999949e-02,2.680488717902758909e-03
1.368470339999999959e-02,2.680248164965525707e-03
1.427996599999999984e-02,2.680007634648692415e-03
1.442494390000000071e-02,2.679947505603654662e-03
1.471061409999999993e-02,2.679827251754361359e-03
1.485138870000000076e-02,2.679767126950022109e-03
1.553614000000000037e-02,2.679466524130107944e-03
1.593287120000000043e-02,2.679286179398316856e-03
1.631996089999999955e-02,2.679105847385488803e-03
1.644696630000000090e-02,2.679045739540820200e-03
1.682223050000000025e-02,2.678865424485169563e-03
1.730993239999999850e-02,2.678625024192491776e-03
1.742972569999999902e-02,2.678564927651490377e-03
1.754870130000000042e-02,2.678504832523304589e-03
1.824627070000000087e-02,2.678144291421082936e-03
1.835995569999999966e-02,2.678084206181533932e-03
1.847294110000000100e-02,2.678024122354518647e-03
1.880782519999999944e-02,2.677843879348279586e-03
1.924527490000000132e-02,2.677603575113213317e-03
1.935309240000000069e-02,2.677543502585146788e-03
2.009162109999999835e-02,2.677123034428750652e-03
2.019492059999999922e-02,2.677062973197435417e-03
2.039995039999999843e-02,2.676942854970551684e-03
2.050169640000000168e-02,2.676882797974918567e-03
2.080394890000000080e-02,2.676702635458902933e-03
2.100303430000000082e-02,2.676582534173609258e-03
2.129817330000000064e-02,2.676402392832987961e-03
2.168544450000000137e-02,2.676162224140462859e-03
2.197141860000000058e-02,2.675982112441022565e-03
2.206591980000000008e-02,2.675922078030568835e-03
2.243994499999999934e-02,2.675681954501098452e-03
2.253248119999999924e-02,2.675621927146667588e-03
2.280783739999999934e-02,2.675441853549883307e-03
2.307990860000000075e-02,2.675261792652102767e-03
2.325952140000000015e-02,2.675141759108095197e-03
2.379022509999999951e-02,2.674781692334881472e-03
2.387752890000000017e-02,2.674721686143362309e-03
2.447993949999999891e-02,2.674301682297274690e-03
2.456479220000000116e-02,2.674241687389499432e-03
2.464935279999999965e-02,2.674181693892014461e-03
2.481760959999999849e-02,2.674061711127799588e-03
2.490131170000000130e-02,2.674001721861058844e-03
2.523334379999999863e-02,2.673761778895300447e-03
2.556106320000000112e-02,2.673521858490076220e-03
2.580412149999999905e-02,2.673341932990116240e-03
2.596489630000000173e-02,2.673221989705844986e-03
2.612468180000000056e-02,2.673102052060431170e-03
2.651993379999999928e-02,2.672802232615121339e-03
2.659827940000000085e-02,2.672742272954639880e-03
2.683194360000000153e-02,2.672562402429670171e-03
2.721692649999999866e-02,2.672262646407749711e-03
2.736940339999999888e-02,2.672142753863402873e-03
2.744532419999999931e-02,2.672082809704901321e-03
2.774693010000000085e-02,2.671843047161055577e-03
2.834051430000000121e-02,2.671363589699538282e-03
2.841384049999999897e-02,2.671303663856108412e-03
2.855992799999999832e-02,2.671183816395045901e-03
2.863269220000000045e-02,2.671123894777356015e-03
2.884988380000000005e-02,2.670944138375240268e-03
2.899377430000000047e-02,2.670824307815932927e-03
2.920828110000000047e-02,2.670644572539312631e-03
2.942122390000000143e-02,2.670464849936846595e-03
2.970277299999999829e-02,2.670225239513762585e-03
3.012016249999999867e-02,2.669865866118255240e-03
3.032670299999999999e-02,2.669686198426000565e-03
3.059992200000000162e-02,2.669446661210354496e-03
3.066784640000000048e-02,2.669386780425323045e-03
3.087072290000000135e-02,2.669207146515301023e-03
3.107227489999999856e-02,2.669027525271954436e-03
3.113916889999999993e-02,2.668967654338813555e-03
3.120591959999999970e-02,2.668907784812859542e-03
3.166923519999999964e-02,2.668488737532126627e-03
3.173487090000000344e-02,2.668428879263175756e-03
3.186573689999999681e-02,2.668309166945963783e-03
3.193096869999999948e-02,2.668249312897655844e-03
3.225514909999999819e-02,2.667950063758380182e-03
3.263991580000000226e-02,2.667591011211150904e-03
3.270360349999999749e-02,2.667531174042809573e-03
3.289392669999999935e-02,2.667351670976295889e-03
3.295712349999999763e-02,2.667291839433491053e-03
3.320870809999999784e-02,2.667052527324877825e-03
3.345840099999999873e-02,2.666813237714851358e-03
3.364445469999999966e-02,2.666633785270559800e-03
3.376792089999999802e-02,2.666514157337441723e-03
3.395227840000000080e-02,2.666334725981506486e-03
3.419654240000000178e-02,2.666095503853752394e-03
3.461985769999999935e-02,2.665676919244963639e-03
3.467990950000000155e-02,2.665617127065349028e-03
3.473985749999999872e-02,2.665557336291154034e-03
3.485944419999999905e-02,2.665437758958594423e-03
3.491908400000000301e-02,2.665377972400123554e-03
3.509739530000000052e-02,2.665198621156036462e-03
3.521576790000000012e-02,2.665079060685267894e-03
3.562697489999999689e-02,2.664660643294398772e-03
3.568533189999999883e-02,2.664600875000866075e-03
3.609118929999999975e-02,2.664182536276675593e-03
3.614879690000000201e-02,2.664122779219941714e-03
3.632107169999999885e-02,2.663943516476944325e-03
3.649253310000000194e-02,2.663764266373042002e-03
3.671990299999999818e-02,2.663525285893984622e-03
3.677652580000000115e-02,2.663465544284722170e-03
3.694587359999999820e-02,2.663286327881035209e-03
3.722640800000000250e-02,2.662987661954289466e-03
3.744932249999999990e-02,2.662748754481878821e-03
3.750484409999999685e-02,2.662689031123008018e-03
3.761564139999999667e-02,2.662569588616155430e-03
3.794609239999999911e-02,2.662211294780397839e-03
3.811024350000000172e-02,2.662032166808265491e-03
3.832801789999999709e-02,2.661793349157843668e-03
3.849054019999999937e-02,2.661614250652972417e-03
3.870617500000000238e-02,2.661375472288437637e-03
3.875989619999999775e-02,2.661315781204530353e-03
3.881354310000000030e-02,2.661256091523571572e-03
3.897404079999999826e-02,2.661077030897571801e-03
3.918701509999999999e-02,2.660838303033973354e-03
3.924007809999999902e-02,2.660778624574435935e-03
3.939883820000000120e-02,2.660599597611341093e-03
3.960952859999999909e-02,2.660360914627844017e-03
4.007953250000000078e-02,2.659823959945962091e-03
4.018323120000000248e-02,2.659704652106175630e-03
4.023498040000000192e-02,2.659645000289210474e-03
4.038983000000000156e-02,2.659466053249351196e-03
4.049273419999999818e-02,2.659346762231722117e-03
4.064660190000000256e-02,2.659167836217844576e-03
4.079988930000000291e-02,2.658988922818723930e-03
4.085085730000000137e-02,2.658929287821878290e-03
4.100338109999999980e-02,2.658750391240564340e-03
4.105409649999999799e-02,2.658690761849765143e-03
4.125633449999999841e-02,2.658452258298665827e-03
4.130673929999999910e-02,2.658392635914180995e-03
4.160788569999999964e-02,2.658034931029341387e-03
4.185718599999999762e-02,2.657736882152342446e-03
4.200605599999999995e-02,2.657558069635594569e-03
4.205556230000000173e-02,2.657498468264746748e-03
4.244953370000000004e-02,2.657021707718817006e-03
4.259633349999999985e-02,2.656842945620935693e-03
4.283988209999999713e-02,2.656545036796320505e-03
4.288842589999999899e-02,2.656485459231966353e-03
4.303372860000000133e-02,2.656306734938834822e-03
4.322670569999999962e-02,2.656068455480537112e-03
4.327481560000000227e-02,2.656008889115624941e-03
4.337087509999999757e-02,2.655889760585313734e-03
4.361009829999999698e-02,2.655591963753198021e-03
4.365778569999999997e-02,2.655532408585934128e-03
4.380053619999999676e-02,2.655353751480049249e-03
4.394282299999999891e-02,2.655175106968886076e-03
4.403742540000000344e-02,2.655056017624638550e-03
4.413182499999999953e-02,2.654936933877708773e-03
4.455414840000000015e-02,2.654401126270175548e-03
4.474056810000000273e-02,2.654163025927910174e-03
4.478705179999999814e-02,2.654103504339182500e-03
4.487987470000000256e-02,2.653984465357448180e-03
4.492621420000000171e-02,2.653924947964888658e-03
4.506494700000000103e-02,2.653746404177823384e-03
4.515719859999999669e-02,2.653627381979161825e-03
4.529522390000000065e-02,2.653448859169083192e-03
4.561565869999999884e-02,2.653032354884695895e-03
4.584316940000000146e-02,2.652734893767407214e-03
4.602436819999999873e-02,2.652496950035692323e-03
4.615980060000000190e-02,2.652318506914097800e-03
4.624986849999999927e-02,2.652199551821122266e-03
4.651902589999999671e-02,2.651842720083136089e-03
4.656373419999999819e-02,2.651783253017941672e-03
4.660839960000000282e-02,2.651723787349947754e-03
4.691986699999999705e-02,2.651307566797367170e-03
4.696419369999999677e-02,2.651248112307266497e-03
4.709692359999999994e-02,2.651069757218315649e-03
4.731731260000000133e-02,2.650772526675207810e-03
4.744905459999999853e-02,2.650594205111152062e-03
4.758043189999999756e-02,2.650415896116921702e-03
4.762414379999999753e-02,2.650356462578533183e-03
4.775503939999999753e-02,2.650178170342678326e-03
4.779859160000000246e-02,2.650118742390617649e-03
4.801576009999999894e-02,2.649821623573569637e-03
4.814559110000000280e-02,2.649643369038958817e-03
4.836120139999999790e-02,2.649346306068984299e-03
4.849010740000000291e-02,2.649168085038530393e-03
4.866145090000000006e-02,2.648930476540093705e-03
4.895985910000000274e-02,2.648514715400235829e-03
4.900234049999999814e-02,2.648455326533901127e-03
4.904478510000000180e-02,2.648395939063314091e-03
4.912956429999999763e-02,2.648277168307645695e-03
4.929868529999999888e-02,2.648039643540065890e-03
4.934087499999999932e-02,2.647980265836133353e-03
4.938302859999999656e-02,2.647920889527786287e-03
4.963519859999999950e-02,2.647564660971619271e-03
4.967710250000000050e-02,2.647505294428276548e-03
4.980260260000000244e-02,2.647327203167196275e-03
5.001106959999999935e-02,2.647030412292927532e-03
5.017721960000000314e-02,2.646793004697404507e-03
5.038413659999999711e-02,2.646496276578016050e-03
5.046666589999999897e-02,2.646377595090359473e-03
5.050787989999999672e-02,2.646318256438543511e-03
5.067240099999999886e-02,2.646080915770906462e-03
5.099985089999999749e-02,2.645606301348163870e-03
5.104063439999999979e-02,2.645546980817432836e-03
5.112210379999999887e-02,2.645428343938376493e-03
5.116278989999999832e-02,2.645369027588857259e-03
5.136573690000000025e-02,2.645072466746705570e-03
5.148712109999999814e-02,2.644894546964147650e-03
5.160821980000000059e-02,2.644716639721068300e-03
5.164852290000000040e-02,2.644657340093225194e-03
5.192976900000000062e-02,2.644242281709306697e-03
5.200984570000000140e-02,2.644123706136654317e-03
5.212973010000000046e-02,2.643945853225220487e-03
5.224933949999999855e-02,2.643768012849302251e-03
5.228914839999999897e-02,2.643708735509025468e-03
5.244808220000000271e-02,2.643471640076062567e-03
5.264607470000000344e-02,2.643175302117951528e-03
5.292201970000000311e-02,2.642760487455000917e-03
5.296132299999999765e-02,2.642701233785992206e-03
5.303984240000000211e-02,2.642582730625041461e-03
5.307905849999999814e-02,2.642523481132342655e-03
5.319653330000000124e-02,2.642345741007338326e-03
5.339175040000000011e-02,2.642049535302969532e-03
5.354741159999999722e-02,2.641812595791021446e-03
5.366386120000000287e-02,2.641634905768444966e-03
5.385738429999999827e-02,2.641338783561743720e-03
