q,I
2.039995199999999811e-03,2.343972969898462048e-03
2.884988900000000096e-03,2.343969041806301477e-03
4.079990399999999622e-03,2.343961185653165025e-03
4.561568000000000220e-03,2.343957257592191312e-03
5.769977800000000191e-03,2.343945473471636086e-03
6.119985599999999866e-03,2.343941545452240226e-03
6.451031299999999968e-03,2.343937617443242732e-03
7.355307299999999833e-03,2.343925833478611390e-03
8.159980799999999243e-03,2.343914049607535854e-03
8.411115699999999196e-03,2.343910121671301337e-03
8.654966599999999385e-03,2.343906193745458680e-03
9.123135799999999504e-03,2.343898337924958924e-03
1.019997589999999989e-02,2.343878698555618926e-03
1.040197520000000000e-02,2.343874770712932841e-03
1.098571020000000016e-02,2.343862987247244400e-03
1.153995529999999985e-02,2.343851203875102224e-03
1.189511369999999950e-02,2.343843348345650470e-03
1.223997100000000053e-02,2.343835492857770497e-03
1.240880609999999926e-02,2.343831565129420036e-03
1.290206219999999980e-02,2.343819782006738035e-03
1.306234239999999949e-02,2.343815854319964559e-03
1.368470339999999959e-02,2.343800143676807481e-03
1.427996599999999984e-02,2.343784433199957908e-03
1.442494390000000071e-02,2.343780505606723758e-03
1.471061409999999993e-02,2.343772650451447521e-03
1.485138870000000076e-02,2.343768722889397194e-03
1.553614000000000037e-02,2.343749085235053396e-03
1.593287120000000043e-02,2.343737302767164021e-03
1.631996089999999955e-02,2.343725520392813972e-03
1.644696630000000090e-02,2.343721592955477252e-03
1.682223050000000025e-02,2.343709810705842545e-03
1.730993239999999850e-02,2.343694101185169951e-03
1.742972569999999902e-02,2.343690173830979395e-03
1.754870130000000042e-02,2.343686246487183735e-03
1.824627070000000087e-02,2.343662682642659242e-03
1.835995569999999966e-02,2.343658755371611380e-03
1.847294110000000100e-02,2.343654828110956247e-03
1.880782519999999944e-02,2.343643046391342011e-03
1.924527490000000132e-02,2.343627337577353260e-03
1.935309240000000069e-02,2.343623410399837351e-03
2.009162109999999835e-02,2.343595920448192892e-03
2.019492059999999922e-02,2.343591993353814039e-03
2.039995039999999843e-02,2.343584139196227580e-03
2.050169640000000168e-02,2.343580212133020407e-03
2.080394890000000080e-02,2.343568431005747885e-03
2.100303430000000082e-02,2.343560576972865926e-03
2.129817330000000064e-02,2.343548796001470452e-03
2.168544450000000137e-02,2.343533088185095585e-03
2.197141860000000058e-02,2.343521307431910543e-03
2.206591980000000008e-02,2.343517380534973146e-03
2.243994499999999934e-02,2.343501673051111810e-03
2.253248119999999924e-02,2.343497746206120707e-03
2.280783739999999934e-02,2.343485965733508106e-03
2.307990860000000075e-02,2.343474185354404039e-03
2.325952140000000015e-02,2.343466331820286304e-03
2.379022509999999951e-02,2.343442771467329523e-03
2.387752890000000017e-02,2.343438844778197253e-03
2.447993949999999891e-02,2.343411358245243038e-03
2.456479220000000116e-02,2.343407431639236982e-03
2.464935279999999965e-02,2.343403505043621052e-03
2.481760959999999849e-02,2.343395651883553501e-03
2.490131170000000130e-02,2.343391725319107950e-03
2.523334379999999863e-02,2.343376019165233949e-03
2.556106320000000112e-02,2.343360313177591994e-03
2.580412149999999905e-02,2.343348533795953925e-03
2.596489630000000173e-02,2.343340680926803837e-03
2.612468180000000056e-02,2.343332828099224229e-03
2.651993379999999928e-02,2.343313196212071844e-03
2.659827940000000085e-02,2.343309269865809837e-03
2.683194360000000153e-02,2.343297490889351131e-03
2.721692649999999866e-02,2.343277859469716697e-03
2.736940339999999888e-02,2.343270006974581664e-03
2.744532419999999931e-02,2.343266080742599771e-03
2.774693010000000085e-02,2.343250375918553945e-03
2.834051430000000121e-02,2.343218966769123300e-03
2.841384049999999897e-02,2.343215040672200471e-03
2.855992799999999832e-02,2.343207188509505677e-03
2.863269220000000045e-02,2.343203262443734579e-03
2.884988380000000005e-02,2.343191484308767246e-03
2.899377430000000047e-02,2.343183632270726645e-03
2.920828110000000047e-02,2.343171854291591256e-03
