q,I
2.039995199999999811e-03,3.796203336131104451e-03
2.884988900000000096e-03,3.796117090073734390e-03
4.079990399999999622e-03,3.795944604389007038e-03
4.561568000000000220e-03,3.795858364761525716e-03
5.769977800000000191e-03,3.795599658737939391e-03
6.119985599999999866e-03,3.795513427682877319e-03
6.451031299999999968e-03,3.795427198770722627e-03
7.355307299999999833e-03,3.795168524891387105e-03
8.159980799999999243e-03,3.794909870296668455e-03
8.411115699999999196e-03,3.794823656383551798e-03
8.654966599999999385e-03,3.794737444612829476e-03
9.123135799999999504e-03,3.794565027498910011e-03
1.019997589999999989e-02,3.794134022203548683e-03
1.040197520000000000e-02,3.794047827570944543e-03
1.098571020000000016e-02,3.793789256524198253e-03
1.153995529999999985e-02,3.793530704753501469e-03
1.189511369999999950e-02,3.793358347614870629e-03
1.223997100000000053e-02,3.793185999042652991e-03
1.240880609999999926e-02,3.793099827968385556e-03
1.290206219999999980e-02,3.792841327593403280e-03
1.306234239999999949e-02,3.792755165083736262e-03
1.368470339999999959e-02,3.792410536457679893e-03
1.427996599999999984e-02,3.792065942086188853e-03
1.442494390000000071e-02,3.791979798844464112e-03
1.471061409999999993e-02,3.791807518783033362e-03
1.485138870000000076e-02,3.791721381964096270e-03
1.553614000000000037e-02,3.791290729970509064e-03
1.593287120000000043e-02,3.791032364455810318e-03
1.631996089999999955e-02,3.790774018203331864e-03
1.644696630000000090e-02,3.790687907064104432e-03
1.682223050000000025e-02,3.790429586487339703e-03
1.730993239999999850e-02,3.790085189002801586e-03
1.742972569999999902e-02,3.789999094981980673e-03
1.754870130000000042e-02,3.789913003097837314e-03
1.824627070000000087e-02,3.789396496722205031e-03
1.835995569999999966e-02,3.789310419814516211e-03
1.847294110000000100e-02,3.789224345043540939e-03
1.880782519999999944e-02,3.788966133561536779e-03
1.924527490000000132e-02,3.788621881526776317e-03
1.935309240000000069e-02,3.788535823866022272e-03
2.009162109999999835e-02,3.787933480097089960e-03
2.019492059999999922e-02,3.787847439537329278e-03
2.039995039999999843e-02,3.787675364837073209e-03
2.050169640000000168e-02,3.787589330695452419e-03
2.080394890000000080e-02,3.787331241087590113e-03
2.100303430000000082e-02,3.787159192033869286e-03
2.129817330000000064e-02,3.786901134490188153e-03
2.168544450000000137e-02,3.786557087678770351e-03
2.197141860000000058e-02,3.786299075014683182e-03
2.206591980000000008e-02,3.786213075063547904e-03
2.243994499999999934e-02,3.785869096641321114e-03
2.253248119999999924e-02,3.785783107375575041e-03
2.280783739999999934e-02,3.785525152394953949e-03
2.307990860000000075e-02,3.785267216638537116e-03
2.325952140000000015e-02,3.785095270154495602e-03
2.379022509999999951e-02,3.784579481953555345e-03
2.387752890000000017e-02,3.784493524731994719e-03
2.447993949999999891e-02,3.783891883956191395e-03
2.456479220000000116e-02,3.783805943809597644e-03
2.464935279999999965e-02,3.783720005802496903e-03
2.481760959999999849e-02,3.783548136199467796e-03
2.490131170000000130e-02,3.783462204589933993e-03
2.523334379999999863e-02,3.783118499539848533e-03
2.556106320000000112e-02,3.782774828631982073e-03
2.580412149999999905e-02,3.782517097871207663e-03
2.596489630000000173e-02,3.782345288024850823e-03
2.612468180000000056e-02,3.782173486723513708e-03
2.651993379999999928e-02,3.781744020821757157e-03
2.659827940000000085e-02,3.781658134040175468e-03
2.683194360000000153e-02,3.781400486505570070e-03
2.721692649999999866e-02,3.780971116608688141e-03
2.736940339999999888e-02,3.780799383576753745e-03
2.744532419999999931e-02,3.780713520258461961e-03
2.774693010000000085e-02,3.780370088342920997e-03
2.834051430000000121e-02,3.779683326870307124e-03
2.841384049999999897e-02,3.779597491288355909e-03
2.855992799999999832e-02,3.779425826518642041e-03
2.863269220000000045e-02,3.779339997327761224e-03
2.884988380000000005e-02,3.779082522542044804e-03
2.899377430000000047e-02,3.778910883338288274e-03
2.920828110000000047e-02,3.778653440549502134e-03
2.942122390000000143e-02,3.778396016924875402e-03
2.970277299999999829e-02,3.778052815291276824e-03
3.012016249999999867e-02,3.777538076751702206e-03
3.032670299999999999e-02,3.777280736254978472e-03
3.059992200000000162e-02,3.776937645425307560e-03
3.066784640000000048e-02,3.776851878058320837e-03
