# Fitting Parameters Used:
# q_min: 0.0
# q_max: 0.2
# form_factor_name: guinier_ff
# f2_initial: 0.0
# f2_min: -1.0
# f2_max: 1.0
# f2_free: False
# rg_initial: 2.0
# rg_min: 0.5
# rg_max: 5.0
# rg_free: True
# perform_guinier_estimation: False
# var_initial: 0.00025
# var_min: 5e-06
# var_max: 2.0
# var_free: True
# A_initial: 0.1
# A_min: -5.0
# A_max: 0.0
# A_free: True
# auto_init_A: True
# plot_fitting_curve: False
# auto_set_parameters: False
# auto_rg_bound_percent: 0.2

binning,bins_number,empirical_var,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,variance,wavelength,filename1,filename2,A_fit,A_fit_error,Ag0,Ag1,Rg_guinier,f2_fit,f2_fit_error,rg_fit,rg_fit_error,var_fit,var_fit_error
False,1000,0.009735506656936,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.01,0.154,sim_037_rg2.000_variance0.010_sigma_x1_sigma_y5.csv,sim_039_rg2.000_variance0.010_sigma_x5_sigma_y5.csv,-4.446166351927635e-05,4.122936408346635e-09,0.000133464649387249,-0.00018198508709608104,2.0019618136611554,2.9316835870189624e-16,6.952712730091258e-06,2.0196386823107884,0.00042370780885973494,0.002443997626630334,0.00037808847847960316
False,1000,0.009735506656936,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.01,0.154,sim_038_rg2.000_variance0.010_sigma_x5_sigma_y1.csv,sim_039_rg2.000_variance0.010_sigma_x5_sigma_y5.csv,-4.446166348108278e-05,4.130758281343509e-09,0.00013346464938724926,-0.0001819850870960575,2.0019618136616866,2.7877561863114407e-16,6.741963690463895e-06,2.019638678267761,0.00042415007773955897,0.0024440010513257834,0.00037880888351885325
False,1000,0.0097355066569377,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,0.01,0.154,sim_072_rg4.000_variance0.010_sigma_x1_sigma_y1.csv,sim_073_rg4.000_variance0.010_sigma_x1_sigma_y5.csv,-0.00017422347883957565,7.92872811117817e-07,0.0005323752017520693,-0.002851790838780211,4.000083381517583,9.9999971575775e-15,0.0007691988391422128,3.8585772106441905,0.014213574560400271,0.28341979741727175,0.06699028544758981
False,1000,0.0097355066569377,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,0.01,0.154,sim_072_rg4.000_variance0.010_sigma_x1_sigma_y1.csv,sim_074_rg4.000_variance0.010_sigma_x5_sigma_y1.csv,-0.0001742295879929444,7.700731285668523e-07,0.0005323752017520712,-0.0028517908387802647,4.000083381517263,9.999997000408261e-15,0.0007490481051578997,3.858853064151664,0.013774212103141474,0.28290408643533865,0.06507658882334832
False,1000,0.0097355066569377,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,0.01,0.154,sim_072_rg4.000_variance0.010_sigma_x1_sigma_y1.csv,sim_075_rg4.000_variance0.010_sigma_x5_sigma_y5.csv,-0.00035020196146976775,1.074299579938118e-06,0.0010647486784683023,-0.005703408771727384,3.999548571307151,9.999999613915207e-15,0.0005587511141792696,3.8978823190306846,0.008894073319112355,0.20987876116116982,0.04631421953096805
False,1000,0.0097355066569377,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,0.01,0.154,sim_073_rg4.000_variance0.010_sigma_x1_sigma_y5.csv,sim_074_rg4.000_variance0.010_sigma_x5_sigma_y1.csv,-1e-10,3.5857869908302587e-12,2.8635535487647213e-18,-6.59770941079493e-17,3.99954868188087,0.0,0.06847423278885173,2.0,0.004000529176403367,0.00025,0.0047933083635413945
False,1000,0.0097355066569377,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,0.01,0.154,sim_073_rg4.000_variance0.010_sigma_x1_sigma_y5.csv,sim_075_rg4.000_variance0.010_sigma_x5_sigma_y5.csv,-0.0001742353440096216,8.024835124190433e-07,0.0005323734767162339,-0.002851617932947253,3.999013871670757,9.999996724771718e-15,0.0007818512795997273,3.8590272689385374,0.0143019864799527,0.28235267671337017,0.0678194136460825
False,1000,0.0097355066569377,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,0.01,0.154,sim_074_rg4.000_variance0.010_sigma_x5_sigma_y1.csv,sim_075_rg4.000_variance0.010_sigma_x5_sigma_y5.csv,-0.00017422633941451728,7.938341656103585e-07,0.0005323734767162347,-0.0028516179329472666,3.9990138716704378,9.999996953068865e-15,0.0007721307590621079,3.858623774657848,0.014186826456563627,0.28310582136768797,0.06707586069812756
False,1000,0.0973550665693601,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.1,0.154,sim_040_rg2.000_variance0.100_sigma_x1_sigma_y1.csv,sim_041_rg2.000_variance0.100_sigma_x1_sigma_y5.csv,-4.5374517848367604e-05,3.657259191823166e-08,0.00013636457311750876,-0.00021945580449732883,2.0215561312491515,8.606289483680213e-16,8.104061638213355e-05,2.1880629832160046,0.0036970824567609155,0.008520055480583322,0.0038463860884419025
False,1000,0.0973550665693601,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.1,0.154,sim_040_rg2.000_variance0.100_sigma_x1_sigma_y1.csv,sim_042_rg2.000_variance0.100_sigma_x5_sigma_y1.csv,-4.537451773602061e-05,3.6832988229308335e-08,0.0001363645731175162,-0.00021945580449754133,2.021556131249617,8.678325208392153e-16,8.242464235456213e-05,2.188062970719435,0.0037016516152336035,0.008520067146713984,0.003874023840533233
