q,I
2.039995199999999811e-03,2.900107588365382315e-03
2.884988900000000096e-03,2.900101696208807166e-03
4.079990399999999622e-03,2.900089911962408593e-03
4.561568000000000220e-03,2.900084019872587772e-03
5.769977800000000191e-03,2.900066343736623555e-03
6.119985599999999866e-03,2.900060451735802288e-03
6.451031299999999968e-03,2.900054559757234054e-03
7.355307299999999833e-03,2.900036883955022828e-03
8.159980799999999243e-03,2.900019208353061140e-03
8.411115699999999196e-03,2.900013316530240283e-03
8.654966599999999385e-03,2.900007424729666820e-03
9.123135799999999504e-03,2.899995641195267718e-03
1.019997589999999989e-02,2.899966182748631247e-03
1.040197520000000000e-02,2.899960291126047786e-03
1.098571020000000016e-02,2.899942616391791312e-03
1.153995529999999985e-02,2.899924941857763561e-03
1.189511369999999950e-02,2.899913158946323174e-03
1.223997100000000053e-02,2.899901376123866295e-03
1.240880609999999926e-02,2.899895484746007647e-03
1.290206219999999980e-02,2.899877810745918241e-03
1.306234239999999949e-02,2.899871919457048305e-03
1.368470339999999959e-02,2.899848354524028633e-03
1.427996599999999984e-02,2.899824789946958171e-03
1.442494390000000071e-02,2.899818898858297442e-03
1.471061409999999993e-02,2.899807116747727277e-03
1.485138870000000076e-02,2.899801225725806564e-03
1.553614000000000037e-02,2.899771770949891372e-03
1.593287120000000043e-02,2.899754098351275521e-03
1.631996089999999955e-02,2.899736425952861071e-03
1.644696630000000090e-02,2.899730535197867897e-03
1.682223050000000025e-02,2.899712863066377950e-03
1.730993239999999850e-02,2.899689300535806310e-03
1.742972569999999902e-02,2.899683409958765841e-03
1.754870130000000042e-02,2.899677519403971032e-03
1.824627070000000087e-02,2.899642176542302496e-03
1.835995569999999966e-02,2.899636286143205625e-03
1.847294110000000100e-02,2.899630395766350510e-03
1.880782519999999944e-02,2.899612724769229637e-03
1.924527490000000132e-02,2.899589163751123497e-03
1.935309240000000069e-02,2.899583273552201572e-03
2.009162109999999835e-02,2.899542042782471754e-03
2.019492059999999922e-02,2.899536152761474778e-03
2.039995039999999843e-02,2.899524372786196121e-03
2.050169640000000168e-02,2.899518482831917477e-03
2.080394890000000080e-02,2.899500813102508668e-03
2.100303430000000082e-02,2.899489033394108978e-03
2.129817330000000064e-02,2.899471363998294866e-03
2.168544450000000137e-02,2.899447805115221762e-03
2.197141860000000058e-02,2.899430136186407353e-03
2.206591980000000008e-02,2.899424246587953887e-03
2.243994499999999934e-02,2.899400688416497746e-03
2.253248119999999924e-02,2.899394798929223142e-03
2.280783739999999934e-02,2.899377130600837293e-03
2.307990860000000075e-02,2.899359462472573049e-03
2.325952140000000015e-02,2.899347683831579939e-03
2.379022509999999951e-02,2.899312348442289588e-03
2.387752890000000017e-02,2.899306459288560674e-03
2.447993949999999891e-02,2.899265235835089567e-03
2.456479220000000116e-02,2.899259346859243535e-03
2.464935279999999965e-02,2.899253457905631888e-03
2.481760959999999849e-02,2.899241680065110880e-03
2.490131170000000130e-02,2.899235791178201085e-03
2.523334379999999863e-02,2.899212235852929170e-03
2.556106320000000112e-02,2.899188680883383988e-03
2.580412149999999905e-02,2.899171014889678766e-03
2.596489630000000173e-02,2.899159237671695803e-03
2.612468180000000056e-02,2.899147460542661221e-03
2.651993379999999928e-02,2.899118018109122282e-03
2.659827940000000085e-02,2.899112129689111143e-03
