binning,bins_number,empirical_var,filename,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,sigma_x,sigma_y,variance,wavelength
False,1000,0.5213994275547722,sim_031_rg1.000_variance0.800_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.8,0.154
False,1000,0.6168064601329011,sim_032_rg1.000_variance1_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,1,0.154
False,1000,0.6168064601329011,sim_033_rg1.000_variance1_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,1,0.154
False,1000,0.6168064601329011,sim_034_rg1.000_variance1_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,1,0.154
False,1000,0.6168064601329011,sim_035_rg1.000_variance1_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,1,0.154
False,1000,0.00973550665693601,sim_036_rg2.000_variance0.010_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.01,0.154
False,1000,0.00973550665693601,sim_037_rg2.000_variance0.010_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.01,0.154
False,1000,0.00973550665693601,sim_038_rg2.000_variance0.010_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.01,0.154
False,1000,0.00973550665693601,sim_039_rg2.000_variance0.010_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.01,0.154
False,1000,0.0973550665693601,sim_040_rg2.000_variance0.100_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.1,0.154
False,1000,0.0973550665693601,sim_041_rg2.000_variance0.100_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.1,0.154
False,1000,0.0973550665693601,sim_042_rg2.000_variance0.100_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.1,0.154
False,1000,0.0973550665693601,sim_043_rg2.000_variance0.100_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.1,0.154
False,1000,0.1947101331387202,sim_044_rg2.000_variance0.200_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.2,0.154
