q,I
2.039995199999999811e-03,3.797352740490365572e-03
2.884988900000000096e-03,3.797329630441520932e-03
4.079990399999999622e-03,3.797283410908450750e-03
4.561568000000000220e-03,3.797260301424226075e-03
5.769977800000000191e-03,3.797190974100754252e-03
6.119985599999999866e-03,3.797167865369325841e-03
6.451031299999999968e-03,3.797144756826096278e-03
7.355307299999999833e-03,3.797075432325552544e-03
8.159980799999999243e-03,3.797006109518700438e-03
8.411115699999999196e-03,3.796983002292783887e-03
8.654966599999999385e-03,3.796959895255045368e-03
9.123135799999999504e-03,3.796913681744101560e-03
1.019997589999999989e-02,3.796798151259776939e-03
1.040197520000000000e-02,3.796775045727413672e-03
1.098571020000000016e-02,3.796705730259302726e-03
1.153995529999999985e-02,3.796636416484611490e-03
1.189511369999999950e-02,3.796590208242256632e-03
1.223997100000000053e-02,3.796544000752488570e-03
1.240880609999999926e-02,3.796520897289820846e-03
1.290206219999999980e-02,3.796451588030678136e-03
1.306234239999999949e-02,3.796428485320574222e-03
1.368470339999999959e-02,3.796336076361490897e-03
1.427996599999999984e-02,3.796243670412472425e-03
1.442494390000000071e-02,3.796220569395515002e-03
1.471061409999999993e-02,3.796174367925973792e-03
1.485138870000000076e-02,3.796151267473371789e-03
1.553614000000000037e-02,3.796035768032041732e-03
1.593287120000000043e-02,3.795966470624503354e-03
1.631996089999999955e-02,3.795897174909851693e-03
1.644696630000000090e-02,3.795874076714478382e-03
1.682223050000000025e-02,3.795804783256928779e-03
1.730993239999999850e-02,3.795712394613392007e-03
1.742972569999999902e-02,3.795689297922699625e-03
1.754870130000000042e-02,3.795666201420087697e-03
1.824627070000000087e-02,3.795527626353915277e-03
1.835995569999999966e-02,3.795504531167784128e-03
1.847294110000000100e-02,3.795481436169713917e-03
1.880782519999999944e-02,3.795412152303846796e-03
1.924527490000000132e-02,3.795319776448775190e-03
1.935309240000000069e-02,3.795296682955129168e-03
2.009162109999999835e-02,3.795135033764731290e-03
2.019492059999999922e-02,3.795111941775390196e-03
2.039995039999999843e-02,3.795065758360788907e-03
2.050169640000000168e-02,3.795042666935526544e-03
2.080394890000000080e-02,3.794973393787870030e-03
2.100303430000000082e-02,3.794927212629539432e-03
2.129817330000000064e-02,3.794857942302136931e-03
2.168544450000000137e-02,3.794765584497728286e-03
2.197141860000000058e-02,3.794696318118425012e-03
2.206591980000000008e-02,3.794673229701331883e-03
2.243994499999999934e-02,3.794580877912848409e-03
2.253248119999999924e-02,3.794557790435693946e-03
2.280783739999999934e-02,3.794488529132154266e-03
2.307990860000000075e-02,3.794419269520415364e-03
2.325952140000000015e-02,3.794373097385790594e-03
2.379022509999999951e-02,3.794234585493170935e-03
2.387752890000000017e-02,3.794211500835591340e-03
2.447993949999999891e-02,3.794049913495290555e-03
2.456479220000000116e-02,3.794026830341321998e-03
2.464935279999999965e-02,3.794003747375293382e-03
2.481760959999999849e-02,3.793957582007046869e-03
2.490131170000000130e-02,3.793934499604835475e-03
2.523334379999999863e-02,3.793842171875327733e-03
2.556106320000000112e-02,3.793749847152646983e-03
2.580412149999999905e-02,3.793680605583801650e-03
2.596489630000000173e-02,3.793634445477471039e-03
2.612468180000000056e-02,3.793588286122800881e-03
2.651993379999999928e-02,3.793472891024431311e-03
2.659827940000000085e-02,3.793449812568459520e-03
2.683194360000000153e-02,3.793380578327893229e-03
2.721692649999999866e-02,3.793265191684748461e-03
2.736940339999999888e-02,3.793219038342663697e-03
2.744532419999999931e-02,3.793195961953441022e-03
2.774693010000000085e-02,3.793103658275271458e-03
2.834051430000000121e-02,3.792919059936474685e-03
2.841384049999999897e-02,3.792895985989493731e-03
2.855992799999999832e-02,3.792849838659061081e-03
2.863269220000000045e-02,3.792826765275607651e-03
2.884988380000000005e-02,3.792757546252338401e-03
2.899377430000000047e-02,3.792711401176022349e-03
2.920828110000000047e-02,3.792642184970337373e-03
2.942122390000000143e-02,3.792572970455110066e-03
2.970277299999999829e-02,3.792480687064345504e-03
3.012016249999999867e-02,3.792342267612700858e-03
3.032670299999999999e-02,3.792273060422268836e-03
3.059992200000000162e-02,3.792180786797596723e-03
3.066784640000000048e-02,3.792157718860910028e-03
3.087072290000000135e-02,3.792088516177599677e-03
3.107227489999999856e-02,3.792019315184381838e-03
3.113916889999999993e-02,3.791996248562185760e-03
3.120591959999999970e-02,3.791973182127786075e-03
3.166923519999999964e-02,3.791811722344621150e-03
3.173487090000000344e-02,3.791788657412367095e-03
3.186573689999999681e-02,3.791742528111180510e-03
3.193096869999999948e-02,3.791719463742208949e-03
3.225514909999999819e-02,3.791604144713699425e-03
3.263991580000000226e-02,3.791465768075127744e-03
3.270360349999999749e-02,3.791442705959123961e-03
3.289392669999999935e-02,3.791373520737500655e-03
3.295712349999999763e-02,3.791350459372413561e-03
3.320870809999999784e-02,3.791258215789315277e-03
3.345840099999999873e-02,3.791165975209723725e-03
3.364445469999999966e-02,3.791096796746028837e-03
3.376792089999999802e-02,3.791050678708746124e-03
3.395227840000000080e-02,3.790981503060589838e-03
3.419654240000000178e-02,3.790889271490798570e-03
3.461985769999999935e-02,3.790727873469652755e-03
3.467990950000000155e-02,3.790704817360204034e-03
3.473985749999999872e-02,3.790681761438435913e-03
3.485944419999999905e-02,3.790635650157906777e-03
3.491908400000000301e-02,3.790612594799151833e-03
3.509739530000000052e-02,3.790543429848882134e-03
3.521576790000000012e-02,3.790497320820336753e-03
3.562697489999999689e-02,3.790335945131566905e-03
3.568533189999999883e-02,3.790312892212325830e-03
3.609118929999999975e-02,3.790151527031617850e-03
3.614879690000000201e-02,3.790128475613463790e-03
3.632107169999999885e-02,3.790059322484828908e-03
3.649253310000000194e-02,3.789990171044759111e-03
3.671990299999999818e-02,3.789897971751320874e-03
3.677652580000000115e-02,3.789874922396983814e-03
3.694587359999999820e-02,3.789805775459624288e-03
3.722640800000000250e-02,3.789690534316042438e-03
3.744932249999999990e-02,3.789598344777870675e-03
3.750484409999999685e-02,3.789575297862293746e-03
3.761564139999999667e-02,3.789529204593875076e-03
3.794609239999999911e-02,3.789390929290514885e-03
3.811024350000000172e-02,3.789321794171053581e-03
3.832801789999999709e-02,3.789229616637614529e-03
3.849054019999999937e-02,3.789160485456898389e-03
3.870617500000000238e-02,3.789068313174945649e-03
3.875989619999999775e-02,3.789045270573301611e-03
3.881354310000000030e-02,3.789022228159216743e-03
3.897404079999999826e-02,3.788953102042205701e-03
3.918701509999999999e-02,3.788860936511623690e-03
3.924007809999999902e-02,3.788837895597803145e-03
3.939883820000000120e-02,3.788768773981463205e-03
3.960952859999999909e-02,3.788676614451622331e-03
4.007953250000000078e-02,3.788469266478652984e-03
4.018323120000000248e-02,3.788423191213802135e-03
4.023498040000000192e-02,3.788400153862633499e-03
4.038983000000000156e-02,3.788331042934004259e-03
4.049273419999999818e-02,3.788284969919034247e-03
4.064660190000000256e-02,3.788215861802632454e-03
4.079988930000000291e-02,3.788146755373499042e-03
4.085085730000000137e-02,3.788123720272060756e-03
4.100338109999999980e-02,3.788054616092533661e-03
4.105409649999999799e-02,3.788031581740968195e-03
4.125633449999999841e-02,3.787939446209213825e-03
4.130673929999999910e-02,3.787916412794918152e-03
4.160788569999999964e-02,3.787778216245467171e-03
4.185718599999999762e-02,3.787663057608854893e-03
4.200605599999999995e-02,3.787593964676053571e-03
4.205556230000000173e-02,3.787570934073323115e-03
4.244953370000000004e-02,3.787386695998385885e-03
4.259633349999999985e-02,3.787317609812531748e-03
4.283988209999999713e-02,3.787202469917496771e-03
4.288842589999999899e-02,3.787179442500691363e-03
4.303372860000000133e-02,3.787110361374560700e-03
4.322670569999999962e-02,3.787018255829747646e-03
4.327481560000000227e-02,3.786995229912018274e-03
4.337087509999999757e-02,3.786949178638632490e-03
4.361009829999999698e-02,3.786834053734170098e-03
4.365778569999999997e-02,3.786811029315399670e-03
4.380053619999999676e-02,3.786741957183169683e-03
4.394282299999999891e-02,3.786672886737147727e-03
4.403742540000000344e-02,3.786626840709867142e-03
4.413182499999999953e-02,3.786580795431976690e-03
4.455414840000000015e-02,3.786373600954764679e-03
4.474056810000000273e-02,3.786281519391007048e-03
4.478705179999999814e-02,3.786258499468373590e-03
4.487987470000000256e-02,3.786212460185023939e-03
4.492621420000000171e-02,3.786189440824319023e-03
4.506494700000000103e-02,3.786120383866104291e-03
4.515719859999999669e-02,3.786074346830452762e-03
4.529522390000000065e-02,3.786005292681789234e-03
4.561565869999999884e-02,3.785844172890151862e-03
4.584316940000000146e-02,3.785729092943224128e-03
4.602436819999999873e-02,3.785637032356614032e-03
4.615980060000000190e-02,3.785567988883001625e-03
4.624986849999999927e-02,3.785521960836879269e-03
4.651902589999999671e-02,3.785383881192628218e-03
4.656373419999999819e-02,3.785360868573959918e-03
4.660839960000000282e-02,3.785337856142527262e-03
4.691986699999999705e-02,3.785176774365237203e-03
4.696419369999999677e-02,3.785153763431699670e-03
4.709692359999999994e-02,3.785084731754467108e-03
4.731731260000000133e-02,3.784969682703459744e-03
4.744905459999999853e-02,3.784900655519416422e-03
4.758043189999999756e-02,3.784831630020258405e-03
4.762414379999999753e-02,3.784808621894941976e-03
4.775503939999999753e-02,3.784739598642181471e-03
4.779859160000000246e-02,3.784716591265658864e-03
4.801576009999999894e-02,3.784601557190857973e-03
4.814559110000000280e-02,3.784532538992240337e-03
4.836120139999999790e-02,3.784417512404666863e-03
4.849010740000000291e-02,3.784348498698153831e-03
4.866145090000000006e-02,3.784256483043095705e-03
4.895985910000000274e-02,3.784095462852118952e-03
4.900234049999999814e-02,3.784072460716281401e-03
4.904478510000000180e-02,3.784049458767589722e-03
4.912956429999999763e-02,3.784003455431610152e-03
4.929868529999999888e-02,3.783911451005251420e-03
4.934087499999999932e-02,3.783888450366491504e-03
4.938302859999999656e-02,3.783865449914850139e-03
4.963519859999999950e-02,3.783727451134539631e-03
4.967710250000000050e-02,3.783704451992739391e-03
4.980260260000000244e-02,3.783635455689974506e-03
5.001106959999999935e-02,3.783520465594101753e-03
5.017721960000000314e-02,3.783428476885161706e-03
5.038413659999999711e-02,3.783313495208459696e-03
5.046666589999999897e-02,3.783267503847357379e-03
5.050787989999999672e-02,3.783244508447409452e-03
5.067240099999999886e-02,3.783152528718395583e-03
5.099985089999999749e-02,3.782968578239398472e-03
5.104063439999999979e-02,3.782945585271260073e-03
5.112210379999999887e-02,3.782899599896161549e-03
5.116278989999999832e-02,3.782876607489185378e-03
5.136573690000000025e-02,3.782761648259936986e-03
5.148712109999999814e-02,3.782692674966834420e-03
5.160821980000000059e-02,3.782623703356975241e-03
5.164852290000000040e-02,3.782600713194392110e-03
5.192976900000000062e-02,3.782439787292957677e-03
5.200984570000000140e-02,3.782393810147080277e-03
5.212973010000000046e-02,3.782324845830810876e-03
5.224933949999999855e-02,3.782255883197568891e-03
5.228914839999999897e-02,3.782232896027099261e-03
5.244808220000000271e-02,3.782140949215293847e-03
5.264607470000000344e-02,3.782026019907701753e-03
5.292201970000000311e-02,3.781865126729963469e-03
5.296132299999999765e-02,3.781842142738129145e-03
5.303984240000000211e-02,3.781796175315424533e-03
5.307905849999999814e-02,3.781773191884486591e-03
5.319653330000000124e-02,3.781704242713411317e-03
5.339175040000000011e-02,3.781589331167309852e-03
5.354741159999999722e-02,3.781497405295356721e-03
5.366386120000000287e-02,3.781428462854191479e-03
5.385738429999999827e-02,3.781313562524134166e-03
5.389600549999999657e-02,3.781290583018870246e-03
5.401170360000000226e-02,3.781221645624634892e-03
5.420398480000000047e-02,3.781106753705739971e-03
5.431902689999999756e-02,3.781037820797284420e-03
5.443382580000000193e-02,3.780968889570845808e-03
5.473877910000000263e-02,3.780785081190106769e-03
5.481475239999999971e-02,3.780739130963754139e-03
5.489062050000000081e-02,3.780693181484861328e-03
5.492851530000000121e-02,3.780670207025726721e-03
5.507983360000000272e-02,3.780578311057800761e-03
5.511759819999999949e-02,3.780555337532963064e-03
5.523073729999999903e-02,3.780486418079631247e-03
5.541878909999999742e-02,3.780371556061086751e-03
5.549383139999999881e-02,3.780325612561598412e-03
5.568099469999999995e-02,3.780210757082505188e-03
5.571835189999999743e-02,3.780187786547182811e-03
5.601631270000000107e-02,3.780004028990262884e-03
5.612764020000000215e-02,3.779935122988888063e-03
5.627573429999999793e-02,3.779843250935717696e-03
5.642343970000000125e-02,3.779751381871327993e-03
5.657075939999999664e-02,3.779659515795624411e-03
5.668099790000000193e-02,3.779590618200106764e-03
5.671769649999999774e-02,3.779567652708519781e-03
5.682764989999999905e-02,3.779498757354314738e-03
5.690083420000000003e-02,3.779452828052077412e-03
5.711982439999999800e-02,3.779315044627733038e-03
5.715624119999999919e-02,3.779292081377354576e-03
5.726535270000000094e-02,3.779223192746724354e-03
5.744674450000000071e-02,3.779108382097289779e-03
5.748295419999999850e-02,3.779085420527657571e-03
5.759144669999999994e-02,3.779016536939145982e-03
5.769973510000000333e-02,3.778947655031202838e-03
5.773578619999999995e-02,3.778924694768732908e-03
5.777181470000000013e-02,3.778901734692943076e-03
5.798751569999999883e-02,3.778763978159363924e-03
5.802338790000000079e-02,3.778741019390582847e-03
5.805923799999999912e-02,3.778718060808570339e-03
5.834524540000000231e-02,3.778534398873677203e-03
5.841652840000000069e-02,3.778488485256903655e-03
5.845213739999999963e-02,3.778465528728611189e-03
5.873623160000000093e-02,3.778281883222612322e-03
5.884241330000000020e-02,3.778213019238065885e-03
5.887776470000000151e-02,3.778190064949888630e-03
5.915981499999999754e-02,3.778006437364356956e-03
5.919497680000000012e-02,3.777983484756101962e-03
5.930033710000000291e-02,3.777914628051313485e-03
5.940551060000000272e-02,3.777845773026334945e-03
5.947552290000000103e-02,3.777799870609547216e-03
5.958038699999999854e-02,3.777731018384103152e-03
5.971991950000000299e-02,3.777639218029668275e-03
5.999801099999999693e-02,3.777455626278671159e-03
6.003268190000000254e-02,3.777432678149554579e-03
6.024028800000000294e-02,3.777294993293532112e-03
6.027481950000000005e-02,3.777272046470618941e-03
6.041274809999999662e-02,3.777180261044877762e-03
6.055036250000000314e-02,3.777088478604551883e-03
6.058471719999999894e-02,3.777065533460898742e-03
6.065336839999999757e-02,3.777019643733372546e-03
6.085885719999999804e-02,3.776881979028465664e-03
6.113176780000000032e-02,3.776698436536024984e-03
6.119980530000000002e-02,3.776652552778431669e-03
6.123379560000000166e-02,3.776629611179402324e-03
6.133565380000000067e-02,3.776560787501702290e-03
6.136956899999999882e-02,3.776537846648909350e-03
6.150504259999999696e-02,3.776446085102930922e-03
6.167396609999999807e-02,3.776331387367343889e-03
6.174140610000000001e-02,3.776285509578713312e-03
6.194328550000000044e-02,3.776147880689183570e-03
6.204397889999999777e-02,3.776079068762257067e-03
6.214450920000000322e-02,3.776010258513823846e-03
6.217798310000000050e-02,3.775987322137317869e-03
6.227829700000000329e-02,3.775918514126739081e-03
6.241179809999999883e-02,3.775826772723421196e-03
6.244512879999999933e-02,3.775803837838835521e-03
6.257827400000000317e-02,3.775712100165059051e-03
6.284371810000000114e-02,3.775528633767910765e-03
6.297602060000000168e-02,3.775436905044291316e-03
6.300905280000000663e-02,3.775413973329503833e-03
6.323979509999999582e-02,3.775253456546268788e-03
6.327268960000000109e-02,3.775230526322993080e-03
6.333842739999999416e-02,3.775184666435732125e-03
6.337127069999999585e-02,3.775161736771736037e-03
6.346969869999999347e-02,3.775092948898322188e-03
6.353523260000000505e-02,3.775047091248081698e-03
6.373143000000000558e-02,3.774909522771354754e-03
6.376407089999999722e-02,3.774886595344295864e-03
6.386189339999999437e-02,3.774817814181614679e-03
6.389446769999999887e-02,3.774794887500196316e-03
6.402459889999999321e-02,3.774703182638408216e-03
6.405709029999999415e-02,3.774680256888885473e-03
6.441341509999999604e-02,3.774428085945685275e-03
6.451025289999999524e-02,3.774359315965836095e-03
6.479989830000000561e-02,3.774153016089590740e-03
6.483200120000000288e-02,3.774130094812826099e-03
6.492821479999999479e-02,3.774061332100703270e-03
6.505627819999999784e-02,3.773969651093169245e-03
6.508825470000000057e-02,3.773946731307114503e-03
6.518409000000000009e-02,3.773877973066866367e-03
6.527978469999999589e-02,3.773809216503549394e-03
6.531165170000000075e-02,3.773786298021735222e-03
6.540715969999999491e-02,3.773717543694163259e-03
6.556603060000000538e-02,3.773602956874411336e-03
6.569285060000000509e-02,3.773511290771996117e-03
6.578780519999999354e-02,3.773442543151226802e-03
6.585103220000000646e-02,3.773396712335486645e-03
6.591419860000000130e-02,3.773350882264913438e-03
6.607185029999999848e-02,3.773236310348241588e-03
6.619770129999999475e-02,3.773144656167801928e-03
6.635467940000000509e-02,3.773030092633105747e-03
6.641736669999999398e-02,3.772984268522963040e-03
6.644868819999999454e-02,3.772961356747277575e-03
6.660507479999999703e-02,3.772846800662623280e-03
6.669873070000000015e-02,3.772778069246651884e-03
6.682340109999999889e-02,3.772686429965979842e-03
6.691675140000000188e-02,3.772617702460838874e-03
6.710306259999999912e-02,3.772480252478462113e-03
6.728885780000000427e-02,3.772342809199557764e-03
6.731977379999999622e-02,3.772319902638093716e-03
6.735067570000000114e-02,3.772296996262901672e-03
6.744329620000000247e-02,3.772228278254279726e-03
6.753578970000000126e-02,3.772159561921417138e-03
6.756659280000000545e-02,3.772136656849527613e-03
6.759738179999999486e-02,3.772113751963748329e-03
6.781251330000000188e-02,3.771953422976440529e-03
6.790450389999999614e-02,3.771884713345867272e-03
6.793513980000000230e-02,3.771861810508024895e-03
6.808811230000000325e-02,3.771747299110962768e-03
6.817973099999999342e-02,3.771678594506591188e-03
6.839303080000000423e-02,3.771518290277938151e-03
6.842344790000000343e-02,3.771495390418384830e-03
6.854498139999999629e-02,3.771403792841502515e-03
6.857533120000000593e-02,3.771380893912607522e-03
6.881764710000000396e-02,3.771197709181420624e-03
6.902897569999999483e-02,3.771037432312248586e-03
6.923965930000000601e-02,3.770877164561626214e-03
6.926970470000000379e-02,3.770854269912991830e-03
6.929973700000000014e-02,3.770831375450491105e-03
6.935976259999999949e-02,3.770785587083602675e-03
6.938975599999999688e-02,3.770762693179305174e-03
6.947965829999999676e-02,3.770694012582778785e-03
