q,I
2.039995199999999811e-03,3.288626540646406339e-03
2.884988900000000096e-03,3.288606969403116715e-03
4.079990399999999622e-03,3.288567827357710607e-03
4.561568000000000220e-03,3.288548256555595423e-03
5.769977800000000191e-03,3.288489545031566662e-03
6.119985599999999866e-03,3.288469974817661949e-03
6.451031299999999968e-03,3.288450404750808010e-03
7.355307299999999833e-03,3.288391695432527420e-03
8.159980799999999243e-03,3.288332987437648722e-03
8.411115699999999196e-03,3.288313418400105968e-03
8.654966599999999385e-03,3.288293849509600544e-03
9.123135799999999504e-03,3.288254712169702120e-03
1.019997589999999989e-02,3.288156871393063153e-03
1.040197520000000000e-02,3.288137303678825580e-03
1.098571020000000016e-02,3.288078601418276126e-03
1.153995529999999985e-02,3.288019900480937743e-03
1.189511369999999950e-02,3.287980767257820021e-03
1.223997100000000053e-02,3.287941634622764016e-03
1.240880609999999926e-02,3.287922068525757531e-03
1.290206219999999980e-02,3.287863371116816341e-03
1.306234239999999949e-02,3.287843805607856395e-03
1.368470339999999959e-02,3.287765545042078963e-03
1.427996599999999984e-02,3.287687286828357147e-03
1.442494390000000071e-02,3.287667722642415285e-03
1.471061409999999993e-02,3.287628594711536865e-03
1.485138870000000076e-02,3.287609030966584262e-03
1.553614000000000037e-02,3.287511214446695116e-03
1.593287120000000043e-02,3.287452526298598188e-03
1.631996089999999955e-02,3.287393839473339366e-03
1.644696630000000090e-02,3.287374277492201551e-03
1.682223050000000025e-02,3.287315592430669915e-03
1.730993239999999850e-02,3.287237347739582500e-03
1.742972569999999902e-02,3.287217786934225946e-03
1.754870130000000042e-02,3.287198226275839501e-03
1.824627070000000087e-02,3.287080865411743519e-03
1.835995569999999966e-02,3.287061305782083658e-03
1.847294110000000100e-02,3.287041746299379594e-03
1.880782519999999944e-02,3.286983068732986582e-03
1.924527490000000132e-02,3.286904834035103782e-03
1.935309240000000069e-02,3.286885275728000568e-03
2.009162109999999835e-02,3.286748371692626257e-03
2.019492059999999922e-02,3.286728814561040626e-03
