q,I
2.039995199999999811e-03,4.124752120135475111e-03
2.884988900000000096e-03,4.124726430078035251e-03
4.079990399999999622e-03,4.124675050638769609e-03
4.561568000000000220e-03,4.124649361256941225e-03
5.769977800000000191e-03,4.124572294462632190e-03
6.119985599999999866e-03,4.124546605981581522e-03
6.451031299999999968e-03,4.124520917725722248e-03
7.355307299999999833e-03,4.124443854309241611e-03
8.159980799999999243e-03,4.124366792919375961e-03
8.411115699999999196e-03,4.124341106239767102e-03
8.654966599999999385e-03,4.124315419785322748e-03
9.123135799999999504e-03,4.124264047551937096e-03
1.019997589999999989e-02,4.124135620908766370e-03
1.040197520000000000e-02,4.124109936255591219e-03
1.098571020000000016e-02,4.124032883646932234e-03
1.153995529999999985e-02,4.123955833064524810e-03
1.189511369999999950e-02,4.123904467135265650e-03
1.223997100000000053e-02,4.123853102106514457e-03
1.240880609999999926e-02,4.123827419929816662e-03
1.290206219999999980e-02,4.123750374750442295e-03
1.306234239999999949e-02,4.123724693474204762e-03
1.368470339999999959e-02,4.123621970620367123e-03
1.427996599999999984e-02,4.123519251368158896e-03
1.442494390000000071e-02,4.123493572117818175e-03
1.471061409999999993e-02,4.123442214292424683e-03
1.485138870000000076e-02,4.123416535717369311e-03
1.553614000000000037e-02,4.123288146218193062e-03
1.593287120000000043e-02,4.123211115219516110e-03
1.631996089999999955e-02,4.123134086246441066e-03
1.644696630000000090e-02,4.123108410372155856e-03
1.682223050000000025e-02,4.123031384099685309e-03
1.730993239999999850e-02,4.122928685553630887e-03
1.742972569999999902e-02,4.122903011479735376e-03
1.754870130000000042e-02,4.122877337630828296e-03
1.824627070000000087e-02,4.122723299263069199e-03
1.835995569999999966e-02,4.122697626989376904e-03
1.847294110000000100e-02,4.122671954940655692e-03
1.880782519999999944e-02,4.122594940144513713e-03
1.924527490000000132e-02,4.122492256899716080e-03
1.935309240000000069e-02,4.122466586651041091e-03
2.009162109999999835e-02,4.122286901209657427e-03
2.019492059999999922e-02,4.122261232760768453e-03
2.039995039999999843e-02,4.122209896538002634e-03
2.050169640000000168e-02,4.122184228764104105e-03
2.080394890000000080e-02,4.122107226792006036e-03
2.100303430000000082e-02,4.122055893268689389e-03
2.129817330000000064e-02,4.121978894670952874e-03
2.168544450000000137e-02,4.121876233023047918e-03
2.197141860000000058e-02,4.121799239149026746e-03
2.206591980000000008e-02,4.121773574974159880e-03
2.243994499999999934e-02,4.121670920524159523e-03
2.253248119999999924e-02,4.121645257473915622e-03
2.280783739999999934e-02,4.121568269672633116e-03
2.307990860000000075e-02,4.121491283895433767e-03
2.325952140000000015e-02,4.121439961168571128e-03
2.379022509999999951e-02,4.121285998385152034e-03
2.387752890000000017e-02,4.121260338708390182e-03
2.447993949999999891e-02,4.121080727267148469e-03
2.456479220000000116e-02,4.121055069389171696e-03
2.464935279999999965e-02,4.121029411736132179e-03
2.481760959999999849e-02,4.120978097104713127e-03
2.490131170000000130e-02,4.120952440126084658e-03
2.523334379999999863e-02,4.120849814460766404e-03
2.556106320000000112e-02,4.120747192392576821e-03
2.580412149999999905e-02,4.120670228202274674e-03
2.596489630000000173e-02,4.120618919865961551e-03
2.612468180000000056e-02,4.120567612429083468e-03
2.651993379999999928e-02,4.120439347771101025e-03
2.659827940000000085e-02,4.120413695513854696e-03
2.683194360000000153e-02,4.120336740091012397e-03
2.721692649999999866e-02,4.120208485548501783e-03
2.736940339999999888e-02,4.120157185304814187e-03
2.744532419999999931e-02,4.120131535520090045e-03
2.774693010000000085e-02,4.120028938629358671e-03
2.834051430000000121e-02,4.119823755635847184e-03
2.841384049999999897e-02,4.119798108773128562e-03
2.855992799999999832e-02,4.119746815721819604e-03
2.863269220000000045e-02,4.119721169533169421e-03
2.884988380000000005e-02,4.119644232315497999e-03
2.899377430000000047e-02,4.119592941960528720e-03
2.920828110000000047e-02,4.119516008113995736e-03
2.942122390000000143e-02,4.119439076289421742e-03
2.970277299999999829e-02,4.119336503669602037e-03
3.012016249999999867e-02,4.119182651480078096e-03
3.032670299999999999e-02,4.119105728418550813e-03
3.059992200000000162e-02,4.119003167481952339e-03
3.066784640000000048e-02,4.118977527809717168e-03
3.087072290000000135e-02,4.118900610140114639e-03
3.107227489999999856e-02,4.118823694492186605e-03
3.113916889999999993e-02,4.118798056392082747e-03
3.120591959999999970e-02,4.118772418517090486e-03
3.166923519999999964e-02,4.118592959679588314e-03
3.173487090000000344e-02,4.118567323600902212e-03
3.186573689999999681e-02,4.118516052118223816e-03
3.193096869999999948e-02,4.118490416713954834e-03
3.225514909999999819e-02,4.118362243060917291e-03
3.263991580000000226e-02,4.118208442089366789e-03
3.270360349999999749e-02,4.118182809380106953e-03
3.289392669999999935e-02,4.118105912599590024e-03
3.295712349999999763e-02,4.118080280788594290e-03
3.320870809999999784e-02,4.117977755790439877e-03
3.345840099999999873e-02,4.117875234385090337e-03
3.364445469999999966e-02,4.117798345689557479e-03
3.376792089999999802e-02,4.117747087681356694e-03
3.395227840000000080e-02,4.117670202353303742e-03
3.419654240000000178e-02,4.117567691726591733e-03
3.461985769999999935e-02,4.117388306772802944e-03
3.467990950000000155e-02,4.117362681249344541e-03
3.473985749999999872e-02,4.117337055949968176e-03
3.485944419999999905e-02,4.117285806024803367e-03
3.491908400000000301e-02,4.117260181399240437e-03
3.509739530000000052e-02,4.117183308867977155e-03
3.521576790000000012e-02,4.117132061637276789e-03
3.562697489999999689e-02,4.116952703398540046e-03
3.568533189999999883e-02,4.116927081690557357e-03
3.609118929999999975e-02,4.116747736021762229e-03
3.614879690000000201e-02,4.116722116110360652e-03
3.632107169999999885e-02,4.116645257720440848e-03
3.649253310000000194e-02,4.116568401351252716e-03
3.671990299999999818e-02,4.116465929334576883e-03
3.677652580000000115e-02,4.116440311890909656e-03
3.694587359999999820e-02,4.116363460907944243e-03
3.722640800000000250e-02,4.116235380423829797e-03
3.744932249999999990e-02,4.116132920075103556e-03
3.750484409999999685e-02,4.116107305549113714e-03
3.761564139999999667e-02,4.116056077170224085e-03
3.794609239999999911e-02,4.115902397417995490e-03
3.811024350000000172e-02,4.115825560571723628e-03
3.832801789999999709e-02,4.115723114583027913e-03
3.849054019999999937e-02,4.115646282447209432e-03
3.870617500000000238e-02,4.115543842741010809e-03
3.875989619999999775e-02,4.115518233375567436e-03
3.881354310000000030e-02,4.115492624234040435e-03
3.897404079999999826e-02,4.115415798154852846e-03
3.918701509999999999e-02,4.115313366523280260e-03
3.924007809999999902e-02,4.115287759176988226e-03
3.939883820000000120e-02,4.115210938481778623e-03
3.960952859999999909e-02,4.115108514028393769e-03
4.007953250000000078e-02,4.114878072129411583e-03
4.018323120000000248e-02,4.114826865285018363e-03
4.023498040000000192e-02,4.114801262199154278e-03
4.038983000000000156e-02,4.114724454287590344e-03
4.049273419999999818e-02,4.114673250134752436e-03
4.064660190000000256e-02,4.114596445588176478e-03
4.079988930000000291e-02,4.114519643058449881e-03
4.085085730000000137e-02,4.114494042664679739e-03
4.100338109999999980e-02,4.114417242826095590e-03
4.105409649999999799e-02,4.114391643327503477e-03
4.125633449999999841e-02,4.114289247579577639e-03
4.130673929999999910e-02,4.114263649202122564e-03
4.160788569999999964e-02,4.114110063651204782e-03
4.185718599999999762e-02,4.113982081855520161e-03
4.200605599999999995e-02,4.113905295469530952e-03
4.205556230000000173e-02,4.113879700456014345e-03
4.244953370000000004e-02,4.113674948415152292e-03
4.259633349999999985e-02,4.113598170099569407e-03
4.283988209999999713e-02,4.113470210722067547e-03
4.288842589999999899e-02,4.113444619518358443e-03
4.303372860000000133e-02,4.113367847253340120e-03
4.322670569999999962e-02,4.113265487371300932e-03
4.327481560000000227e-02,4.113239897961101614e-03
4.337087509999999757e-02,4.113188719811874429e-03
4.361009829999999698e-02,4.113060778364922843e-03
4.365778569999999997e-02,4.113035190746049292e-03
4.380053619999999676e-02,4.112958429238816258e-03
4.394282299999999891e-02,4.112881669748271254e-03
4.403742540000000344e-02,4.112830497875211155e-03
4.413182499999999953e-02,4.112779326896649074e-03
4.455414840000000015e-02,4.112549068591035695e-03
4.474056810000000273e-02,4.112446737390068781e-03
4.478705179999999814e-02,4.112421155150234459e-03
