# Fitting Parameters Used:
# q_min: 0.0
# q_max: 0.2
# form_factor_name: guinier_ff
# f2_initial: 0.0
# f2_min: -1.0
# f2_max: 1.0
# f2_free: False
# rg_initial: 2.0
# rg_min: 0.5
# rg_max: 2.5
# rg_free: True
# perform_guinier_estimation: False
# var_initial: 0.2
# var_min: 5e-06
# var_max: 0.5
# var_free: True
# A_initial: 0.1
# A_min: -1.0
# A_max: 0.0
# A_free: True
# auto_init_A: True
# plot_fitting_curve: False
# auto_set_parameters: False
# auto_rg_bound_percent: 0.2

binning,bins_number,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,variance,wavelength,filename1,filename2,A_fit,A_fit_error,Rg_guinier,f2_fit,f2_fit_error,rg_fit,rg_fit_error,var_fit,var_fit_error
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.4,0.154,sim_013_rg2.000_variance0.400_sigma_x1.csv,sim_014_rg2.000_variance0.400_sigma_x5.csv,-4.601047622038616e-05,3.673744727193435e-05,2.0859821838319803,3.667482081191381e-15,0.05105037266584125,2.0784274013582924,2.733297564548696,0.21144716791340487,3.082260944199945
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.5,0.154,sim_015_rg2.000_variance0.500_sigma_x0.010.csv,sim_016_rg2.000_variance0.500_sigma_x1.csv,-1.978805875492762e-06,4.085223472699066e-06,2.108056480579858,0.0,0.10043505352818573,2.0,7.167056373842555,0.2,7.271942063262352
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.5,0.154,sim_015_rg2.000_variance0.500_sigma_x0.010.csv,sim_017_rg2.000_variance0.500_sigma_x5.csv,-4.888624281527994e-05,5.025107702022025e-05,2.107916767753303,3.822949708205572e-15,0.06909420410851641,2.082672217968302,3.6045054969997063,0.21129746343796746,3.9764324489282887
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.5,0.154,sim_016_rg2.000_variance0.500_sigma_x1.csv,sim_017_rg2.000_variance0.500_sigma_x5.csv,-4.692908697839041e-05,5.049631901673516e-05,2.107910939425678,3.829756269612345e-15,0.06951276783585471,2.082671687586603,3.7125145529573356,0.2112975032775265,4.169997242300213
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.7,0.154,sim_018_rg2.000_variance0.700_sigma_x0.010.csv,sim_019_rg2.000_variance0.700_sigma_x1.csv,-2.0770106920146448e-06,6.366531120937619e-06,2.1557382465451376,0.0,0.1494493295679717,2.0,10.590749185117376,0.2,10.806142975080768
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.7,0.154,sim_018_rg2.000_variance0.700_sigma_x0.010.csv,sim_020_rg2.000_variance0.700_sigma_x5.csv,-5.100517916041779e-05,8.988962234876862e-05,2.155569851296463,4.017542014529888e-15,0.12029498813717412,2.0881498226320536,5.896937414921676,0.210553487707913,6.911701666079986
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.7,0.154,sim_019_rg2.000_variance0.700_sigma_x1.csv,sim_020_rg2.000_variance0.700_sigma_x5.csv,-4.8963119883165805e-05,8.406035653316035e-05,2.1555628258406805,4.010598287933395e-15,0.11275272344885222,2.0881493376692233,5.823898282030537,0.21055358657776876,6.716166838560097
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.8,0.154,sim_021_rg2.000_variance0.800_sigma_x0.010.csv,sim_022_rg2.000_variance0.800_sigma_x1.csv,-2.129003080814213e-06,7.479268187349803e-06,2.1806381209530934,0.0,0.16930219410891606,2.0,12.169572212770758,0.2,12.377782966229091
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.8,0.154,sim_021_rg2.000_variance0.800_sigma_x0.010.csv,sim_023_rg2.000_variance0.800_sigma_x5.csv,-5.2131641807071545e-05,0.00010080374091058891,2.180455408406675,4.071244584473207e-15,0.14600407800243428,2.090177148391041,6.538142189162555,0.21009564131103736,7.605895369699906
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.8,0.154,sim_022_rg2.000_variance0.800_sigma_x1.csv,sim_023_rg2.000_variance0.800_sigma_x5.csv,-5.004444771584365e-05,0.00010002372692991402,2.180447785324348,4.069580779025907e-15,0.1370613683031763,2.090176659641808,6.750096810481867,0.2100957666816964,7.848891493766552
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1.0,0.154,sim_024_rg2.000_variance1_sigma_x0.010.csv,sim_025_rg2.000_variance1_sigma_x1.csv,-2.2373372566568256e-06,1.003474103163063e-05,2.231683125229173,0.0,0.21257296414783988,2.0,15.459142086448663,0.2,15.81413352404309
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1.0,0.154,sim_024_rg2.000_variance1_sigma_x0.010.csv,sim_026_rg2.000_variance1_sigma_x5.csv,-5.4481840744602466e-05,0.00013764488087800162,2.231471738257622,4.1650651587948e-15,0.17652726768632107,2.0935237554414643,8.545829442446106,0.20912515746676058,9.965024963783907
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1.0,0.154,sim_025_rg2.000_variance1_sigma_x1.csv,sim_026_rg2.000_variance1_sigma_x5.csv,-5.230048031042036e-05,0.00012940091336348256,2.231462918113352,4.160019360889539e-15,0.17773494983239388,2.0935232348992128,8.40595313854343,0.20912533329566046,9.75815058549895
