q,I
2.884988900000000096e-03,9.973089247091008192e-01
4.079990399999999622e-03,9.972970491384131053e-01
4.561568000000000220e-03,9.972911114200327942e-01
5.769977800000000191e-03,9.972732985327376065e-01
6.285508449999999483e-03,9.972643922453312548e-01
7.355307299999999833e-03,9.972436112800452390e-01
8.285548250000000087e-03,9.972228308727375534e-01
8.654966599999999385e-03,9.972139251433096430e-01
9.123135799999999504e-03,9.972020510010712879e-01
1.030097555000000081e-02,9.971693980360947229e-01
1.098571020000000016e-02,9.971486195704134525e-01
1.171753449999999967e-02,9.971248734506608091e-01
1.232438854999999903e-02,9.971040961453890850e-01
1.290206219999999980e-02,9.970833193979795617e-01
1.306234239999999949e-02,9.970773832864403552e-01
1.368470339999999959e-02,9.970536392865507747e-01
1.435245494999999941e-02,9.970269281457183608e-01
1.478100140000000035e-02,9.970091212167969674e-01
1.573450560000000040e-02,9.969675733223730685e-01
1.638346360000000196e-02,9.969378975170368751e-01
1.682223050000000025e-02,9.969171251426514058e-01
1.736982905000000049e-02,9.968904186200002737e-01
1.754870130000000042e-02,9.968815166391137295e-01
1.830311319999999853e-02,9.968429425783009723e-01
1.864038315000000195e-02,9.968251398433736199e-01
1.929918365000000274e-02,9.967895354441567157e-01
2.022883069999999867e-02,9.967371208736279797e-01
2.065282264999999950e-02,9.967123982294088247e-01
2.115060380000000073e-02,9.966827320599065398e-01
2.168544450000000137e-02,9.966501005111272349e-01
2.215909446666666782e-02,9.966204367871664971e-01
2.267015929999999929e-02,9.965878078101843007e-01
2.316971500000000045e-02,9.965551802081988875e-01
2.383387699999999984e-02,9.965106902188216598e-01
2.468260116000000129e-02,9.964519673664774535e-01
2.523334379999999863e-02,9.964128211018488113e-01
2.568259234999999835e-02,9.963802008122134568e-01
2.604478905000000288e-02,9.963535124184970115e-01
2.665005226666666838e-02,9.963080454719325241e-01
2.729316494999999704e-02,9.962586277616913844e-01
2.759612715000000008e-02,9.962349084473067773e-01
2.837717740000000183e-02,9.961726483808757138e-01
2.868083466666666512e-02,9.961479434590577720e-01
2.920775976666666399e-02,9.961044646416250536e-01
2.970277299999999829e-02,9.960629641697618109e-01
3.022343275000000107e-02,9.960185019947527252e-01
3.071283043333333448e-02,9.959760182244310478e-01
3.113912113333333273e-02,9.959384762699939886e-01
3.175661433333332867e-02,9.958831546344087959e-01
3.209305889999999883e-02,9.958525319198516801e-01
3.274581533333333766e-02,9.957922775116484493e-01
3.308291580000000121e-02,9.957606705468531327e-01
3.362359219999999649e-02,9.957093118958152411e-01
3.407441040000000476e-02,9.956658571793425283e-01
3.472476722500000140e-02,9.956021608107840093e-01
3.507741573333333224e-02,9.955671053826137262e-01
3.565615340000000133e-02,9.955088475327139586e-01
3.618701930000000483e-02,9.954545433858962289e-01
3.666298729999999811e-02,9.954051792120292008e-01
3.708614080000000035e-02,9.953607540982835067e-01
3.752326933333333114e-02,9.953143570669776841e-01
3.812811793333333726e-02,9.952492086944270122e-01
3.869253862500000168e-02,9.951875199161235308e-01
3.913371133333332780e-02,9.951386658721940170e-01
3.950418340000000361e-02,9.950972163262067349e-01
4.016591469999999942e-02,9.950222179003014311e-01
4.063598254000000409e-02,9.949681447832938730e-01
4.115513784999999536e-02,9.949077605735650032e-01
4.173253585000000210e-02,9.948396860137028730e-01
4.203080915000000084e-02,9.948041710566295492e-01
4.262858309999999901e-02,9.947321600380778506e-01
4.310591895000000229e-02,9.946739639566991587e-01
4.360982382499999782e-02,9.946118271458023186e-01
4.403735780000000294e-02,9.945585707448807433e-01
4.469392276666667163e-02,9.944757349276880376e-01
4.506469168000000469e-02,9.944284041978808109e-01
4.572941405000000015e-02,9.943426241527163478e-01
4.614467910000000228e-02,9.942884002284735345e-01
4.656371990000000155e-02,9.942331942183090243e-01
4.707457422499999877e-02,9.941651782050702213e-01
4.764145226000000150e-02,9.940888885965343258e-01
4.808067559999999740e-02,9.940291630698081526e-01
4.850425323333332900e-02,9.939710190706310122e-01
4.912935154999999859e-02,9.938843036768747474e-01
4.962448307500000322e-02,9.938148396871402390e-01
5.009414460000000124e-02,9.937483371210009686e-01
5.050777084999999444e-02,9.936892286837500921e-01
5.108134475000000035e-02,9.936064841643658108e-01
5.152740017500000158e-02,9.935414768985908474e-01
5.212156653999999723e-02,9.934540209976130409e-01
5.254707845000000654e-02,9.933907986095829035e-01
5.303975537999999768e-02,9.933169472521496957e-01
5.353434106666666442e-02,9.932421183379260832e-01
5.405762102000000180e-02,9.931621776557484349e-01
5.466245243333333476e-02,9.930688577747358581e-01
5.504946097999999927e-02,9.930086190444068484e-01
5.557799177500000187e-02,9.929256509429031929e-01
5.613989573333333372e-02,9.928365904714581136e-01
5.659822337499999939e-02,9.927632831552215542e-01
5.705398048000000222e-02,9.926897861038599391e-01
5.762141356666666825e-02,9.925975058891173264e-01
5.802338053333333523e-02,9.925315979684822265e-01
5.848753570000000263e-02,9.924548769673621207e-01
5.907506138000000184e-02,9.923569207647628954e-01
5.954533500000000479e-02,9.922778560934577552e-01
6.013645010000000235e-02,9.921775620636347215e-01
6.055029904999999907e-02,9.921067738376768697e-01
6.110605647500000348e-02,9.920109253985931463e-01
6.152512752000000029e-02,9.919380882889953233e-01
6.211761073999999549e-02,9.918342993413803432e-01
6.247840029999999351e-02,9.917706174502735061e-01
6.306825524000000960e-02,9.916656722274949098e-01
6.353502171666666754e-02,9.915819615969914125e-01
6.395951257499998821e-02,9.915053325112626048e-01
6.446183399999999564e-02,9.914139772318084631e-01
6.498145619999999567e-02,9.913187044857161290e-01
6.545149545999999485e-02,9.912318884555494369e-01
6.596451752000000168e-02,9.911364410240806055e-01
6.650490795999999816e-02,9.910351143837639043e-01
6.694773836666666200e-02,9.909514709084389361e-01
6.744319540000000279e-02,9.908572354922491332e-01
6.798400006000000773e-02,9.907535896962855748e-01
6.848419782500000941e-02,9.906570226256019573e-01
6.902876070000001085e-02,9.905510489338243962e-01
6.944952677142857134e-02,9.904686342848779690e-01
7.003421573999998873e-02,9.903532687972887993e-01
7.053168827999999058e-02,9.902543970095429859e-01
7.104901144000000390e-02,9.901508307767994399e-01
7.153687818571428936e-02,9.900524889943982387e-01
7.206681445000000241e-02,9.899449155869692873e-01
7.243399207499999493e-02,9.898699172173611727e-01
7.301811823333333173e-02,9.897498367063145563e-01
7.357648018333333428e-02,9.896341843974988395e-01
7.401538356000000873e-02,9.895426550322901083e-01
7.447115103333333541e-02,9.894470216693883602e-01
7.497710883333333354e-02,9.893402308429467551e-01
7.554386116666667039e-02,9.892197417659126524e-01
7.600153078000000673e-02,9.891217967862054872e-01
7.655265774000000190e-02,9.890031034367602336e-01
7.697183523333332722e-02,9.889122355251545038e-01
7.755722843999998672e-02,9.887845672995038138e-01
7.799679303333333091e-02,9.886880474490716830e-01
7.851973527500000216e-02,9.885725519126686844e-01
7.889633144999999570e-02,9.884888779824539951e-01
7.949857046666665428e-02,9.883543316687791735e-01
8.002894676000001095e-02,9.882349726812676982e-01
8.045252626666667128e-02,9.881391069633966850e-01
8.087607095000000357e-02,9.880427637535956764e-01
8.147757382222221845e-02,9.879050361187364793e-01
8.201083051666666068e-02,9.877821597526579289e-01
8.248300990000000110e-02,9.876726638705113359e-01
8.298190783333332654e-02,9.875563404273220991e-01
8.339447334999999795e-02,9.874595815584080727e-01
8.391630865714286291e-02,9.873365891849257281e-01
8.444176424000000847e-02,9.872119696808503431e-01
8.500093429999999728e-02,9.870785226433621551e-01
8.543627811666666683e-02,9.869740089518755921e-01
8.590475662857142980e-02,9.868609981636674577e-01
8.652138008333333519e-02,9.867113192985366155e-01
8.690448355999999541e-02,9.866177883905422608e-01
8.744030264999999580e-02,9.864862978446684583e-01
8.790910044999999950e-02,9.863706387876816084e-01
8.842492469999999050e-02,9.862426605810969971e-01
8.899714217500000191e-02,9.860998594184320343e-01
8.945766750000000433e-02,9.859842583921377690e-01
8.992737498750000280e-02,9.858657487461176538e-01
9.045998408333333352e-02,9.857306782922594657e-01
