q,I
2.039995199999999811e-03,9.903035284273169481e-01
2.884988900000000096e-03,9.902970523355965060e-01
4.079990399999999622e-03,9.902841003460732816e-01
4.561568000000000220e-03,9.902776244482691670e-01
5.769977800000000191e-03,9.902581971426742680e-01
6.119985599999999866e-03,9.902517215034121190e-01
6.451031299999999968e-03,9.902452459287846009e-01
7.355307299999999833e-03,9.902258195926942896e-01
8.159980799999999243e-03,9.902063938382771324e-01
8.411115699999999196e-03,9.901999187160621663e-01
8.654966599999999385e-03,9.901934436584732824e-01
9.123135799999999504e-03,9.901804937371732063e-01
1.019997589999999989e-02,9.901481200648409864e-01
1.040197520000000000e-02,9.901416455242382231e-01
1.098571020000000016e-02,9.901222222901466807e-01
1.153995529999999985e-02,9.901027996376081663e-01
1.189511369999999950e-02,9.900898515256594257e-01
1.223997100000000053e-02,9.900769036721608352e-01
1.240880609999999926e-02,9.900704298423278482e-01
1.290206219999999980e-02,9.900510087404923443e-01
1.306234239999999949e-02,9.900445351690975171e-01
1.368470339999999959e-02,9.900186415295807452e-01
1.427996599999999984e-02,9.899927489237293488e-01
1.442494390000000071e-02,9.899862759337677565e-01
1.471061409999999993e-02,9.899733301476482117e-01
1.485138870000000076e-02,9.899668573514845971e-01
1.553614000000000037e-02,9.899344943396138907e-01
1.593287120000000043e-02,9.899150773076149656e-01
1.631996089999999955e-02,9.898956608569329241e-01
1.644696630000000090e-02,9.898891888358801738e-01
1.682223050000000025e-02,9.898697731602510430e-01
1.730993239999999850e-02,9.898438864969334450e-01
1.742972569999999902e-02,9.898374149925581733e-01
1.754870130000000042e-02,9.898309435527645750e-01
1.824627070000000087e-02,9.897921162701551756e-01
1.835995569999999966e-02,9.897856452824039808e-01
1.847294110000000100e-02,9.897791743592267988e-01
1.880782519999999944e-02,9.897597619771314470e-01
1.924527490000000132e-02,9.897338797049944903e-01
1.935309240000000069e-02,9.897274092983814331e-01
2.009162109999999835e-02,9.896821182599095934e-01
2.019492059999999922e-02,9.896756483698074813e-01
2.039995039999999843e-02,9.896627087832819969e-01
2.050169640000000168e-02,9.896562390868574033e-01
2.080394890000000080e-02,9.896368303849240045e-01
2.100303430000000082e-02,9.896238915730821706e-01
2.129817330000000064e-02,9.896044838394654208e-01
2.168544450000000137e-02,9.895786077650232659e-01
2.197141860000000058e-02,9.895592013869407566e-01
2.206591980000000008e-02,9.895527327233417658e-01
2.243994499999999934e-02,9.895268587143730699e-01
2.253248119999999924e-02,9.895203903734841600e-01
2.280783739999999934e-02,9.895009857380625551e-01
2.307990860000000075e-02,9.894815816834784394e-01
2.325952140000000015e-02,9.894686459697659142e-01
2.379022509999999951e-02,9.894298403774208772e-01
2.387752890000000017e-02,9.894233730045498554e-01
2.447993949999999891e-02,9.893781032012048948e-01
2.456479220000000116e-02,9.893716363445358430e-01
2.464935279999999965e-02,9.893651695523875134e-01
2.481760959999999849e-02,9.893522361616499117e-01
2.490131170000000130e-02,9.893457695630616389e-01
2.523334379999999863e-02,9.893199038138829060e-01
2.556106320000000112e-02,9.892940390969375830e-01
2.580412149999999905e-02,9.892746412366016928e-01
2.596489630000000173e-02,9.892617096522556830e-01
2.612468180000000056e-02,9.892487783259434897e-01
2.651993379999999928e-02,9.892164511389903714e-01
2.659827940000000085e-02,9.892099858951081126e-01
2.683194360000000153e-02,9.891905905504589924e-01
2.721692649999999866e-02,9.891582662660032277e-01
2.736940339999999888e-02,9.891453370036838999e-01
2.744532419999999931e-02,9.891388724692639078e-01
2.774693010000000085e-02,9.891130149764916224e-01
2.834051430000000121e-02,9.890613030863372179e-01
2.841384049999999897e-02,9.890548393902472979e-01
2.855992799999999832e-02,9.890419121915046130e-01
2.863269220000000045e-02,9.890354486888499608e-01
2.884988380000000005e-02,9.890160585677604255e-01
2.899377430000000047e-02,9.890031321427468214e-01
2.920828110000000047e-02,9.889837429887886611e-01
2.942122390000000143e-02,9.889643544150724663e-01
2.970277299999999829e-02,9.889385038860190047e-01
3.012016249999999867e-02,9.888997300264082968e-01
3.032670299999999999e-02,9.888803439668339967e-01
3.059992200000000162e-02,9.888544967898285076e-01
3.066784640000000048e-02,9.888480351567167093e-01
3.087072290000000135e-02,9.888286506441049672e-01
3.107227489999999856e-02,9.888092667115667700e-01
3.113916889999999993e-02,9.888028055296159691e-01
3.120591959999999970e-02,9.887963444121193879e-01
3.166923519999999964e-02,9.887511183941329884e-01
3.173487090000000344e-02,9.887446577921918944e-01
3.186573689999999681e-02,9.887317367816440550e-01
3.193096869999999948e-02,9.887252763730255412e-01
3.225514909999999819e-02,9.886929752965128992e-01
3.263991580000000226e-02,9.886542161310402088e-01
3.270360349999999749e-02,9.886477564956391850e-01
3.289392669999999935e-02,9.886283779760027812e-01
3.295712349999999763e-02,9.886219185983106117e-01
3.320870809999999784e-02,9.885960817317913651e-01
3.345840099999999873e-02,9.885702458960310413e-01
3.364445469999999966e-02,9.885508696956211150e-01
3.376792089999999802e-02,9.885379525507603793e-01
3.395227840000000080e-02,9.885185773165812151e-01
3.419654240000000178e-02,9.884927445727825779e-01
3.461985769999999935e-02,9.884475397508641903e-01
3.467990950000000155e-02,9.884410821767813937e-01
3.473985749999999872e-02,9.884346246671026348e-01
3.485944419999999905e-02,9.884217098409467939e-01
3.491908400000000301e-02,9.884152525244714882e-01
3.509739530000000052e-02,9.883958809614367125e-01
3.521576790000000012e-02,9.883829669080648195e-01
3.562697489999999689e-02,9.883377697496739112e-01
3.568533189999999883e-02,9.883313132703221982e-01
3.609118929999999975e-02,9.882861197177215118e-01
3.614879690000000201e-02,9.882796637534571049e-01
3.632107169999999885e-02,9.882602962469649865e-01
3.649253310000000194e-02,9.882409293198815003e-01
3.671990299999999818e-02,9.882151076517202704e-01
3.677652580000000115e-02,9.882086523956148394e-01
3.694587359999999820e-02,9.881892870135376983e-01
3.722640800000000250e-02,9.881570126641435747e-01
3.744932249999999990e-02,9.881311943432314893e-01
3.750484409999999685e-02,9.881247399239138085e-01
3.761564139999999667e-02,9.881118312783599977e-01
3.794609239999999911e-02,9.880731068863396471e-01
3.811024350000000172e-02,9.880537455591488216e-01
3.832801789999999709e-02,9.880279313571604938e-01
3.849054019999999937e-02,9.880085713813533399e-01
3.870617500000000238e-02,9.879827589811337463e-01
3.875989619999999775e-02,9.879763060419375353e-01
3.881354310000000030e-02,9.879698531670890738e-01
3.897404079999999826e-02,9.879504949285992099e-01
3.918701509999999999e-02,9.879246848446984197e-01
3.924007809999999902e-02,9.879182324845701135e-01
3.939883820000000120e-02,9.878988757901904227e-01
3.960952859999999909e-02,9.878730677650242598e-01
4.007953250000000078e-02,9.878150034716306482e-01
4.018323120000000248e-02,9.878021010028905646e-01
4.023498040000000192e-02,9.877956498650075634e-01
4.038983000000000156e-02,9.877762968372660879e-01
4.049273419999999818e-02,9.877633951403713697e-01
4.064660190000000256e-02,9.877440430773901658e-01
4.079988930000000291e-02,9.877246915932322846e-01
4.085085730000000137e-02,9.877182412271383605e-01
4.100338109999999980e-02,9.876988905147118247e-01
4.105409649999999799e-02,9.876924404058574636e-01
4.125633449999999841e-02,9.876666406134924081e-01
4.130673929999999910e-02,9.876601908261646301e-01
4.160788569999999964e-02,9.876214934525244793e-01
4.185718599999999762e-02,9.875892474093674878e-01
4.200605599999999995e-02,9.875699005550104825e-01
4.205556230000000173e-02,9.875634517321474348e-01
4.244953370000000004e-02,9.875118634636087522e-01
4.259633349999999985e-02,9.874925189236152256e-01
4.283988209999999713e-02,9.874602793092610575e-01
4.288842589999999899e-02,9.874538315792303900e-01
4.303372860000000133e-02,9.874344887747845689e-01
4.322670569999999962e-02,9.874086992686899045e-01
4.327481560000000227e-02,9.874022520528522584e-01
4.337087509999999757e-02,9.873893578139728566e-01
4.361009829999999698e-02,9.873571233414731863e-01
4.365778569999999997e-02,9.873506766397744938e-01
4.380053619999999676e-02,9.873313369202445511e-01
4.394282299999999891e-02,9.873119977790684176e-01
4.403742540000000344e-02,9.872991053395754335e-01
4.413182499999999953e-02,9.872862131571104038e-01
4.455414840000000015e-02,9.872282015165955160e-01
4.474056810000000273e-02,9.872024202357430056e-01
4.478705179999999814e-02,9.871959750761463148e-01
4.487987470000000256e-02,9.871830849496773252e-01
4.492621420000000171e-02,9.871766399828049154e-01
4.506494700000000103e-02,9.871573054676491266e-01
4.515719859999999669e-02,9.871444161120638272e-01
4.529522390000000065e-02,9.871250825604802603e-01
4.561565869999999884e-02,9.870799731882986539e-01
4.584316940000000146e-02,9.870477541350619610e-01
4.602436819999999873e-02,9.870219800485302564e-01
4.615980060000000190e-02,9.870026501579710621e-01
4.624986849999999927e-02,9.869897638853595279e-01
4.651902589999999671e-02,9.869511066087274243e-01
4.656373419999999819e-02,9.869446639540384592e-01
4.660839960000000282e-02,9.869382213635599088e-01
4.691986699999999705e-02,9.868931250280915668e-01
4.696419369999999677e-02,9.868866829512802363e-01
4.709692359999999994e-02,9.868673571060815330e-01
4.731731260000000133e-02,9.868351486481061752e-01
4.744905459999999853e-02,9.868158243437009647e-01
4.758043189999999756e-02,9.867965006170629216e-01
4.762414379999999753e-02,9.867900595032378375e-01
4.775503939999999753e-02,9.867707365469113867e-01
4.779859160000000246e-02,9.867642956898495799e-01
4.801576009999999894e-02,9.867320923673640332e-01
4.814559110000000280e-02,9.867127711441078253e-01
4.836120139999999790e-02,9.866805703889739432e-01
4.849010740000000291e-02,9.866612507060408266e-01
4.866145090000000006e-02,9.866354920272590867e-01
4.895985910000000274e-02,9.865904168100049221e-01
4.900234049999999814e-02,9.865839777499287866e-01
4.904478510000000180e-02,9.865775387540184349e-01
4.912956429999999763e-02,9.865646609546940837e-01
4.929868529999999888e-02,9.865389061260014802e-01
4.934087499999999932e-02,9.865324675792336295e-01
4.938302859999999656e-02,9.865260290966202383e-01
4.963519859999999950e-02,9.864873995482641433e-01
4.967710250000000050e-02,9.864809615147493993e-01
4.980260260000000244e-02,9.864616477991161592e-01
5.001106959999999935e-02,9.864294595560629819e-01
5.017721960000000314e-02,9.864037101162619336e-01
5.038413659999999711e-02,9.863715247597257818e-01
5.046666589999999897e-02,9.863586510660948825e-01
5.050787989999999672e-02,9.863522143154788147e-01
5.067240099999999886e-02,9.863264679544008207e-01
5.099985089999999749e-02,9.862749783105843049e-01
5.104063439999999979e-02,9.862685423936837781e-01
5.112210379999999887e-02,9.862556707522609489e-01
5.116278989999999832e-02,9.862492350277406450e-01
5.136573690000000025e-02,9.862170573669687412e-01
5.148712109999999814e-02,9.861977515399436012e-01
5.160821980000000059e-02,9.861784462899717552e-01
5.164852290000000040e-02,9.861720113348746430e-01
5.192976900000000062e-02,9.861269684443541017e-01
5.200984570000000140e-02,9.861140996240482792e-01
5.212973010000000046e-02,9.860947968743831726e-01
5.224933949999999855e-02,9.860754947016604488e-01
5.228914839999999897e-02,9.860690607722804035e-01
5.244808220000000271e-02,9.860433256957937820e-01
5.264607470000000344e-02,9.860111582923669626e-01
5.292201970000000311e-02,9.859661266194571505e-01
5.296132299999999765e-02,9.859596937796792915e-01
5.303984240000000211e-02,9.859468282923998794e-01
5.307905849999999814e-02,9.859403956448838935e-01
5.319653330000000124e-02,9.859210980868350349e-01
5.339175040000000011e-02,9.858889367717267316e-01
5.354741159999999722e-02,9.858632088730383547e-01
5.366386120000000287e-02,9.858439136218080101e-01
5.385738429999999827e-02,9.858117561511821059e-01
5.389600549999999657e-02,9.858053248492602005e-01
5.401170360000000226e-02,9.857860313279144249e-01
5.420398480000000047e-02,9.857538767402685975e-01
5.431902689999999756e-02,9.857345847564230601e-01
5.443382580000000193e-02,9.857152933490934688e-01
5.473877910000000263e-02,9.856638524145966418e-01
5.481475239999999971e-02,9.856509928214868266e-01
5.489062050000000081e-02,9.856381334845610853e-01
5.492851530000000121e-02,9.856317039121722523e-01
5.507983360000000272e-02,9.856059862630398571e-01
5.511759819999999949e-02,9.855995570108568860e-01
5.523073729999999903e-02,9.855802696385725925e-01
5.541878909999999742e-02,9.855481252988491647e-01
5.549383139999999881e-02,9.855352680112073882e-01
5.568099469999999995e-02,9.855031259126629806e-01
5.571835189999999743e-02,9.854966976850416671e-01
5.601631270000000107e-02,9.854452741690132855e-01
5.612764020000000215e-02,9.854259914068769222e-01
5.627573429999999793e-02,9.854002819536230584e-01
5.642343970000000125e-02,9.853745735246183246e-01
5.657075939999999664e-02,9.853488661198063214e-01
5.668099790000000193e-02,9.853295862382956960e-01
5.671769649999999774e-02,9.853231597391441943e-01
5.682764989999999905e-02,9.853038806257017335e-01
5.690083420000000003e-02,9.852910282034319511e-01
5.711982439999999800e-02,9.852524724726267058e-01
5.715624119999999919e-02,9.852460467414865253e-01
5.726535270000000094e-02,9.852267699320446104e-01
5.744674450000000071e-02,9.851946431961507988e-01
5.748295419999999850e-02,9.851882180409462508e-01
5.759144669999999994e-02,9.851689429592607183e-01
5.769973510000000333e-02,9.851496684534410964e-01
5.773578619999999995e-02,9.851432437461465907e-01
5.777181470000000013e-02,9.851368191028244681e-01
5.798751569999999883e-02,9.850982725864954048e-01
5.802338790000000079e-02,9.850918483910314771e-01
5.805923799999999912e-02,9.850854242595502575e-01
5.834524540000000231e-02,9.850340335107126144e-01
5.841652840000000069e-02,9.850211864632039127e-01
5.845213739999999963e-02,9.850147630354110229e-01
5.873623160000000093e-02,9.849633779157327407e-01
5.884241330000000020e-02,9.849441095512160294e-01
5.887776470000000151e-02,9.849376868909653915e-01
5.915981499999999754e-02,9.848863079112937235e-01
5.919497680000000012e-02,9.848798858266198941e-01
5.930033710000000291e-02,9.848606199562915942e-01
5.940551060000000272e-02,9.848413546614922520e-01
5.947552290000000103e-02,9.848285114513457561e-01
5.958038699999999854e-02,9.848092471156864036e-01
5.971991950000000299e-02,9.847835622299832004e-01
5.999801099999999693e-02,9.847321955275084582e-01
6.003268190000000254e-02,9.847257749774004365e-01
