# Fitting Parameters Used:
# q_min: 0.0
# q_max: 0.2
# form_factor_name: guinier_ff
# f2_initial: 0.0
# f2_min: -1.0
# f2_max: 1.0
# f2_free: False
# rg_initial: 2.0
# rg_min: 0.5
# rg_max: 2.5
# rg_free: True
# perform_guinier_estimation: False
# var_initial: 0.00025
# var_min: 5e-06
# var_max: 0.5
# var_free: True
# A_initial: 0.1
# A_min: -1.0
# A_max: 0.0
# A_free: True
# plot_fitting_curve: False
# auto_set_parameters: True
# auto_rg_bound_percent: 0.2

binning,bins_number,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,variance,wavelength,filename1,filename2,A_fit,A_fit_error,Rg_guinier,f2_fit,f2_fit_error,rg_fit,rg_fit_error,var_fit,var_fit_error
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.4,0.154,sim_012_rg2.000_variance0.400_sigma_x0.010.csv,sim_013_rg2.000_variance0.400_sigma_x1.csv,-2.1019919127882826e-06,3.229093139047764e-06,2.084988078938167,0.0,0.040147152227756715,2.084988078938167,1.8248179077730522,0.00025,1.1901066680591108
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.4,0.154,sim_012_rg2.000_variance0.400_sigma_x0.010.csv,sim_014_rg2.000_variance0.400_sigma_x5.csv,-5.0862636236560475e-05,2.4828928759434282e-05,2.084863159393378,-5.312547003231469e-15,0.011416078831830918,2.0554238178320667,0.6099544335650178,0.23031950349474833,0.43800725255883166
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.4,0.154,sim_013_rg2.000_variance0.400_sigma_x1.csv,sim_014_rg2.000_variance0.400_sigma_x5.csv,-4.8826632477478095e-05,2.383356790027954e-05,2.084857948468838,-5.313609286353527e-15,0.010928804841298632,2.055419397377125,0.6121686038665718,0.2303152717125566,0.4371280116332371
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.5,0.154,sim_015_rg2.000_variance0.500_sigma_x0.010.csv,sim_016_rg2.000_variance0.500_sigma_x1.csv,-2.106676875120466e-06,3.8053229834140935e-06,2.106656666607605,0.0,0.05041793527402173,2.106656666607605,2.167464917836163,0.00025,1.466006429729586
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.5,0.154,sim_015_rg2.000_variance0.500_sigma_x0.010.csv,sim_017_rg2.000_variance0.500_sigma_x5.csv,-5.0841028657276696e-05,3.542038845038917e-05,2.1065174519571834,-5.527810370221934e-15,0.014902627838504004,2.068514627537949,0.8885730438352779,0.2707615592779384,0.6419321036076101
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.5,0.154,sim_016_rg2.000_variance0.500_sigma_x1.csv,sim_017_rg2.000_variance0.500_sigma_x5.csv,-4.8805875500819355e-05,3.4001303327074065e-05,2.106511644459582,-5.528422629211313e-15,0.015122541170191819,2.0685097816451554,0.8859950395766121,0.27075651614883456,0.6374123326954427
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.7,0.154,sim_018_rg2.000_variance0.700_sigma_x0.010.csv,sim_019_rg2.000_variance0.700_sigma_x1.csv,-2.1154930601699747e-06,4.686614334431391e-06,2.153801536534109,0.0,0.06999061803741893,2.153801536534109,2.7300869495494453,0.00025,2.022209603731642
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.7,0.154,sim_018_rg2.000_variance0.700_sigma_x0.010.csv,sim_020_rg2.000_variance0.700_sigma_x5.csv,-5.0814286384561734e-05,5.843293347322722e-05,2.1536339270549503,-5.803807561611681e-15,0.023473947879040787,2.100811366706089,1.516803569237171,0.34264170252093973,1.1369722832670188
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.7,0.154,sim_019_rg2.000_variance0.700_sigma_x1.csv,sim_020_rg2.000_variance0.700_sigma_x5.csv,-4.8780176343489314e-05,5.609482343715363e-05,2.153626934420493,-5.803898079365544e-15,0.023231473970065718,2.1008057182753883,1.51244566227631,0.3426347494197228,1.1185706855212176
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.8,0.154,sim_021_rg2.000_variance0.800_sigma_x0.010.csv,sim_022_rg2.000_variance0.800_sigma_x1.csv,-2.1196862781245572e-06,5.016358010846691e-06,2.178436748780239,0.0,0.08270543228246129,2.178436748780239,2.945326851171849,0.00025,2.3090212136962136
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.8,0.154,sim_021_rg2.000_variance0.800_sigma_x0.010.csv,sim_023_rg2.000_variance0.800_sigma_x5.csv,-5.0806882935663324e-05,7.059650155300963e-05,2.17825498393026,-5.8963398603178746e-15,0.02784902758526837,2.1188392901992996,1.8613044980074689,0.3756307125330652,1.4165081279149574
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.8,0.154,sim_022_rg2.000_variance0.800_sigma_x1.csv,sim_023_rg2.000_variance0.800_sigma_x5.csv,-4.8773056052320156e-05,6.777323732342002e-05,2.178247400394914,-5.897242025788879e-15,0.027187801441526556,2.1188332559270546,1.857906290152303,0.37562268332002696,1.3932474032468063
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1.0,0.154,sim_024_rg2.000_variance1_sigma_x0.010.csv,sim_025_rg2.000_variance1_sigma_x1.csv,-2.127724520805407e-06,5.506950680813954e-06,2.228956413186199,0.0,0.10192331673606468,2.228956413186199,3.306147242341183,0.00025,2.8497596889439376
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1.0,0.154,sim_024_rg2.000_variance1_sigma_x0.010.csv,sim_026_rg2.000_variance1_sigma_x5.csv,-4.401100555334516e-05,3.537884805795733e-05,2.2287463336067344,-9.984662542719876e-15,0.02984094944837298,2.328451576223756,1.2212056286034825,0.49999999983076165,1.4755778907776416
False,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1.0,0.154,sim_025_rg2.000_variance1_sigma_x1.csv,sim_026_rg2.000_variance1_sigma_x5.csv,-4.8768968234877736e-05,9.194490852880479e-05,2.2287375680597283,-6.039154068240463e-15,0.03631697432652978,2.1573708520913524,2.6112462773121763,0.43719529607611723,2.0647746133761617
